first,last,address,city,st,zip,paddress,pcity,pstate,pzip
16675 ZENDA STREET LLC,,14024 June Way,Saratoga,CA,95070-5410,4512 GOYA PKWY,SACRAMENTO,CA,95823
16675 ZENDA STREET LLC,,14024 June Way,Saratoga,CA,95070-5410,4608 A PKWY,SACRAMENTO,CA,95823
16675 ZENDA STREET LLC,,14024 June Way,Saratoga,CA,95070-5410,5700 SEYFERTH WAY,SACRAMENTO,CA,95823
16675 ZENDA STREET LLC,,14024 June Way,Saratoga,CA,95070-5410,7340 AMHERST ST,SACRAMENTO,CA,95822
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,14 SIMCOE CT,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,224 MAJORCA CIR,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,26 HEDGEROW CT,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,34 MILPITAS CIR,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,3525 STARSTONE WAY,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,40 TILLMAN CIR,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,5624 53RD AVE,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,6310 DENSLOW WAY,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,6374 LOCHINVAR WAY,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,6506 PRENTISS DR,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,6609 DAWSON WAY,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,68 MONAGHAN CIR,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,7041 2ND PKWY,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,7572 SOUTH PKWY,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,7636 QUINBY WAY,SACRAMENTO,CA,95823
2014 1 IH BORROWER,,901 Main St Ste 4700,Dallas,TX,75202-3774,7804 DEERGLEN WAY,SACRAMENTO,CA,95823
2014 3 IH BORROWER LIMITED PARTNERSHIP,,1717 Main St Ste 2000,Dallas,TX,75201-4657,5206 PRISCILLA LN,SACRAMENTO,CA,95820
2014 3 IH BORROWER LIMITED PARTNERSHIP,,1717 Main St Ste 2000,Dallas,TX,75201-4657,5417 PRISCILLA LN,SACRAMENTO,CA,95820
2014 3 IH BORROWER LIMITED PARTNERSHIP,,1717 Main St Ste 2000,Dallas,TX,75201-4657,7371 21ST ST,SACRAMENTO,CA,95822
2014 3 IH BORROWER LIMITED PARTNERSHIP,,901 Main St Ste 4700,Dallas,TX,75202-3774,4525 BROOKFIELD DR,SACRAMENTO,CA,95823
2014 3 IH BORROWER LIMITED PARTNERSHIP,,901 Main St Ste 4700,Dallas,TX,75202-3774,5625 48TH AVE,SACRAMENTO,CA,95823
2014 3 IH BORROWER LIMITED PARTNERSHIP,,901 Main St Ste 4700,Dallas,TX,75202-3774,7706 ABALINE WAY,SACRAMENTO,CA,95823
2014 3 IH BORROWER LIMITED PARTNERSHIP,,901 Main St Ste 4700,Dallas,TX,75202-3774,7753 TELFER WAY,SACRAMENTO,CA,95823
