export_created,job_id,high_priority,req_inkjet,export_company_name,name,qty_est,qty,jobtype,export_duedate,export_cur_status,export_coordinator,paid,postage_class,postage_type,postage_amt,postage_affixed,postage_due,total,dist_type,color,bw_color,simp_dup,print_start,print_end,export_Ready_to_Print,mailsize,papertype,paper_color,envelopepaper,envelopetype,permit,fold_type,snap_seal,snap_paper
2017-08-09 13:03:13,45416,,0,Sovereign Lending Group Incorporated,SLG August Mailer -VA CashOut - Drop 4,65000,66029,Letter,2017-08-31 00:00:00,Production,Sanjeshni Naidu,true,Standard,Permit Imprint,15158.93,,,31068.63,PMOD,1/0,0,1,2017-08-26 13:33:29,2017-08-29 00:58:17,2017-08-25 17:43:12,8.5x11,#20,Green,Brown Kraft,Single Window,,,,
2017-08-17 10:32:25,45638,,0,InnerScope Advertising Agency,Miracle-Ear SPARKS-RENO SEPT 2017 Mailer,5000,4986,Letter,2017-08-30 00:00:00,Completed Production,Dorothy Nanai,true,Standard,Permit Imprint,1081.68,,,1919.85,Drop Ship,4/1,1,2,2017-08-22 23:26:24,2017-08-23 05:47:23,2017-08-22 11:25:48,8.5x14,#60,White,Custom,Custom,,,,
2017-08-21 06:41:52,45720,,0,InnerScope Advertising Agency,Miracle-Ear Carson City SEPT 2017 Grand Opening Mailer,11576,12088,Letter,2017-08-30 00:00:00,Ready to Print,Dorothy Nanai,true,Standard,Stamp,2617.78,1208.80,1408.98,4838.51,Drop Ship,4/4,1,2,,,2017-08-29 12:02:43,Custom,Custom,White,White,Custom,,,,
2017-08-24 14:37:36,45870,1,0,Snap Pack Mail,Farmer Ins - Color Snaps - Oct 26k - Drop 16,26819,26242,Snap Pack,2017-08-29 00:00:00,Delivery / Mailed,Dorothy Nanai,true,Standard,Permit Imprint,5905.91,,,9039.11,Drop Ship,4/4,1,2,2017-08-28 18:21:13,2017-08-29 01:13:56,2017-08-28 13:17:30,8.5x11,,,,,,Half Fold,Converted,White 70# Converted
2017-08-25 09:34:07,45881,,0,The Data Suite,SLC Brown Craft Control Version SC25,10000,10002,Letter,2017-08-30 00:00:00,Completed Production,Leslie Moores,true,Standard,Permit Imprint,2390.44,,,3899.87,PMOD,1/0,0,1,2017-08-28 21:25:24,2017-08-29 00:47:52,2017-08-28 10:03:39,8.5x11,#20,Pink,Brown Kraft,Single Window,,,,
2017-08-25 09:34:54,45882,,0,The Data Suite,SLC Brown Craft Control Version SC25 Drop 2,10000,10002,Letter,2017-08-31 00:00:00,Production,Leslie Moores,true,Standard,Permit Imprint,2230.80,,,3771.19,PMOD,1/0,0,1,2017-08-29 06:32:40,2017-08-29 10:25:24,2017-08-28 10:21:22,8.5x11,#20,Pink,Brown Kraft,Single Window,,,,
2017-08-25 09:41:41,45884,,0,Nationwide Marketing Services,DAAP082917,7500,7500,Post Card,2017-08-29 00:00:00,Delivery / Mailed,Denny Webber,true,First Class Pre-Sort,Permit Imprint,1984.58,,,2190.00,None,4/4,1,2,2017-08-28 18:09:23,2017-08-28 21:59:54,2017-08-28 09:55:00,4 x 6,#67.5 Vellum,White,,,,,,
2017-08-25 09:42:20,45885,,0,Nationwide Marketing Services,DAAP083117,7500,7500,Post Card,2017-08-31 00:00:00,Production,Denny Webber,true,First Class Pre-Sort,Permit Imprint,1882.89,,,2190.00,None,4/4,1,2,2017-08-28 22:26:50,2017-08-29 01:12:09,2017-08-28 09:27:03,4 x 6,#67.5 Vellum,White,,,,,,
2017-08-25 10:31:54,45892,,0,"Advance Marketing Mail, Inc.",13653 LKY-218 LF SNAP CT 25K 8-30,25035,25035,Snap Pack,2017-08-29 00:00:00,Delivery / Mailed,Lindsey Hemphill,,Standard,Permit Imprint,,,,,Drop Ship,1/1,0,2,2017-08-26 05:12:06,2017-08-26 05:12:20,2017-08-25 11:01:50,8.5x11,,,,,1908,C-Fold,Pressure Seal,Blue Window Check Snap
2017-08-25 11:00:08,45894,,0,Nationwide Marketing Services,DAA083017,10000,10001,Letter,2017-08-30 00:00:00,Completed Production,Denny Webber,true,Standard,Permit Imprint,2437.09,,,3301.16,Drop Ship,1/0,0,1,2017-08-28 11:08:30,2017-08-28 14:50:43,2017-08-28 08:08:31,8.5x11,Custom,White,Brown Kraft,Single Window,,,,
2017-08-25 11:23:56,45897,,0,"Advance Marketing Mail, Inc.",13654 LKY-218 LF SNAP CW 107K 8-30,107355,107355,Snap Pack,2017-08-30 00:00:00,Completed Production,Lindsey Hemphill,,Standard,Permit Imprint,,,,,Drop Ship,1/1,0,2,2017-08-26 11:12:53,2017-08-28 18:36:43,2017-08-25 12:07:39,8.5x11,,,,,1908,C-Fold,Pressure Seal,Blue Window Check Snap
2017-08-25 12:02:01,45900,,0,"Advance Marketing Mail, Inc.",13655 LKY-218 LF SNAP CP 15K 8-30,15155,15155,Snap Pack,2017-08-30 00:00:00,Completed Production,Lindsey Hemphill,,Standard,Permit Imprint,,,,,PMOD,1/1,0,2,2017-08-28 15:41:47,2017-08-28 19:18:15,2017-08-25 12:23:08,8.5x11,,,,,1908,C-Fold,Pressure Seal,Blue Window Check Snap
2017-08-25 16:10:58,45912,,0,UDC LLC,UDC 2nd Notice - RS 8/30,6095,6059,Letter,2017-08-30 00:00:00,Completed Production,Lindsey Hemphill,,Standard,Permit Imprint,1475.17,,,,PMOD,1/0,0,1,2017-08-28 17:55:55,2017-08-28 20:12:36,2017-08-28 14:22:36,8.5x11,#20,Pink,White,Custom,,,,
2017-08-25 16:29:51,45915,,0,"Advance Marketing Mail, Inc.",13661 GLF - BL WCHK - W 17K 8-30,16704,16704,Snap Pack,2017-08-31 00:00:00,Completed Production,Lindsey Hemphill,,Standard,Permit Imprint,,,,,PMOD,1/1,0,2,2017-08-28 18:51:15,2017-08-29 00:54:42,2017-08-25 18:22:06,8.5x11,,,,,1908,C-Fold,Pressure Seal,Blue Window Check Snap
2017-08-25 16:42:12,45916,,0,"Advance Marketing Mail, Inc.",13662 GLF - BL WCHK - CA 73K 8-30,72441,72441,Snap Pack,2017-08-30 00:00:00,Completed Production,Lindsey Hemphill,,Standard,Permit Imprint,,,,,Drop Ship,1/1,0,2,,2017-08-26 12:37:42,2017-08-25 18:07:30,8.5x11,,,,,1908,C-Fold,Pressure Seal,Blue Window Check Snap
2017-08-28 06:52:07,45918,,0,Liberty Mortgage Company Inc.,VA IRRLS 08/30/17,10000,9800,Snap Pack,2017-08-30 00:00:00,Waiting on Approval,Heather Lunsford,,Standard,Permit Imprint,2367.71,,,,PMOD,1/1,0,2,,,Not Set,8.5x11,,,,,,Half Fold,Pressure Seal,
2017-08-28 07:44:31,45921,,0,Nationwide Marketing Services,RCDP082917,8463,8388,Post Card,2017-08-29 00:00:00,Delivery / Mailed,Denny Webber,true,First Class Pre-Sort,Permit Imprint,2.00,,,2447.52,None,4/4,1,2,2017-08-29 10:59:55,2017-08-29 11:37:48,2017-08-29 09:19:22,4 x 6,#67.5 Vellum,White,,,,,,
2017-08-28 08:26:27,45924,,0,Nationwide Marketing Services,RCDL083117,8464,8388,Letter,2017-08-31 00:00:00,Printing,Denny Webber,true,Standard,Permit Imprint,1974.46,,,2783.37,PMOD,1/0,0,1,2017-08-29 15:16:23,,2017-08-29 13:56:11,8.5x11,#70,White,White,Single Window,,,,
2017-08-28 08:52:10,45925,,0,Citracado Market Advisors,New Direction Final Pink,9947,9937,Letter,2017-08-31 00:00:00,Printing,Dorothy Nanai,,First Class Pre-Sort,Stamp,3990.16,,,,,1/0,0,1,2017-08-29 09:26:17,,2017-08-28 14:14:05,8.5x11,#20,Pink,White,Single Window,,,,
2017-08-28 09:30:08,45929,,0,UDC LLC,UDC Control - RS 8/30 ,8125,8005,Letter,2017-08-30 00:00:00,Completed Production,Lindsey Hemphill,,Standard,Permit Imprint,1937.68,,,,PMOD,,,,2017-08-29 07:08:36,2017-08-29 09:08:12,2017-08-28 13:46:27,8.5x11,#20,Pink,White,Custom,,,,
2017-08-28 09:38:42,45930,,0,UDC LLC,AHP Control HTC - RS 8/30 ,2606,2546,Letter,2017-08-30 00:00:00,Completed Production,Lindsey Hemphill,,Standard,Permit Imprint,628.47,,,,PMOD,1/0,0,1,2017-08-28 17:04:29,2017-08-28 17:53:59,2017-08-28 16:06:21,8.5x11,#20,Pink,White,Custom,,,,
2017-08-28 09:44:46,45931,,0,"Advance Marketing Mail, Inc.",13671 PBM - Davis Drop 2 - Aug 31 ,8722,8722,Letter,2017-08-31 00:00:00,Production,Lindsey Hemphill,,Full Rate (Stamp Only),Stamp,,,,,,1/0,0,1,2017-08-29 10:52:01,2017-08-29 12:57:38,2017-08-28 10:11:06,8.5x11,#70,White,White,Single Window,,,,
2017-08-28 09:56:39,45932,,0,"Advance Marketing Mail, Inc.",13668- PVI - Sac Apts - Aug 30 ,7697,7697,Snap Pack,2017-08-30 00:00:00,Completed Production,Lindsey Hemphill,,Standard,Permit Imprint,,,,,Drop Ship,1/1,0,2,2017-08-28 14:25:44,2017-08-28 18:06:21,2017-08-28 12:19:16,8.5x11,,,,,ADVM,C-Fold,Converted,White 70# Converted
2017-08-28 10:19:33,45933,,0,"Advance Marketing Mail, Inc.",13669- PVI- LA Comm SW Drop 2- Aug 30,10598,10598,Snap Pack,2017-08-30 00:00:00,Completed Production,Lindsey Hemphill,,Standard,Permit Imprint,,,,,Drop Ship,1/1,0,2,2017-08-28 16:04:27,2017-08-28 20:13:37,2017-08-28 12:23:26,8.5x11,,,,,ADVM,C-Fold,Converted,White 70# Converted
2017-08-28 10:26:25,45934,,0,"Advance Marketing Mail, Inc.",13670- PVI- LA Dwel SW 2-4 1960- Aug 30,7751,7750,Snap Pack,2017-08-30 00:00:00,Completed Production,Lindsey Hemphill,,Standard,Permit Imprint,,,,,Drop Ship,1/1,0,2,2017-08-28 19:10:01,2017-08-28 21:59:45,2017-08-28 12:17:22,8.5x11,,,,,ADVM,C-Fold,Converted,White 70# Converted
2017-08-28 10:45:31,45935,,0,Citracado Market Advisors,Community Asst,5000,4992,Snap Pack,2017-08-31 00:00:00,Approved,Dorothy Nanai,,First Class Pre-Sort,Permit Imprint,,,,,,,,,,,Not Set,,,,,,,Half Fold,Converted,
2017-08-28 11:32:28,45936,,0,Citracado Market Advisors,Endeavor PMOD,8476,8336,Snap Pack,2017-08-30 00:00:00,Production,Dorothy Nanai,,Standard,Permit Imprint,2023.39,,,,PMOD,1/1,0,2,2017-08-29 12:07:36,2017-08-29 16:40:09,2017-08-28 16:35:29,8.5x11,,,,,,C-Fold,Converted,Custom
2017-08-28 13:17:03,45938,,1,"Advance Marketing Mail, Inc.",13639 WAH - Arroyo Grande CA - Sept 9 ,10650,10650,Post Card,2017-08-30 00:00:00,Completed Production,Lindsey Hemphill,,Standard,Permit Imprint,,,,,Drop Ship,1/0,0,1,2017-08-29 06:39:36,,2017-08-28 16:13:55,6 x 11,#100 Cover,,,,1908,,,
2017-08-28 13:25:56,45939,,1,"Advance Marketing Mail, Inc.",13640 WAH - Santa Clarita CA - Sept 10 ,10870,10870,Post Card,2017-08-30 00:00:00,Completed Production,Lindsey Hemphill,,Standard,Permit Imprint,,,,,Drop Ship,1/0,0,1,2017-08-29 08:08:45,,2017-08-28 16:11:02,6 x 11,#100 Cover,,,,1908,,,
