redstone_print_and_mail_id,fire_dept,fire_chief,full_address,address,city,state,zip,office_number,fax_number,general_email,chief_email,dept_website,city_website,macs_designator,personnel,county,fire_dept_id,data_as_of
0,"Adin Fire Protection District","Ken Richardson , Fire Chief","P.O. Box 16 Adin CA 96006","P.O. Box 16",Adin,CA,96006,"(530) 299- 4700",no_fax,,,,,ADI,"Mostly Volunteer",Modoc,25005,"Feb 2019"
1,"Aerojet Fire Services","Seth Odell , Fire Chief","P.O. Box 13222, BLD 02- 030 Sacramento CA 95813","P.O. Box 13222, BLD 02- 030",Sacramento,CA,95813,"(916) 355- 3187","(916) 355- 4035",,seth.odell@rocket.com,,,AFS,Paid,Sacramento,34003,"Feb 2019"
2,"Agnews Developmental Center","Mike Horton , Fire Chief","3500 Zanker Road San Jose CA 95134","3500 Zanker Road","San Jose",CA,95134,"(408) 451- 7403","(408) 451- 7411",,mhorton@dds.ca.gov,,,ASH,Paid,"Santa Clara",43490,"Feb 2019"
3,"Air National Guard Fire Dept.","Christopher Diaz , Fire Chief","5323 E. McKinley Ave. Fresno CA 93727","5323 E. McKinley Ave.",Fresno,CA,93727,"(559) 454- 5315","(559) 454- 5329",,christopher.diaz@cafres.ang.af.mil,,,REE,Paid,Fresno,10800,"Feb 2019"
4,"Alameda City Fire Dept.","Edmond Rodriguez , Fire Chief","1300 Park Street Alameda CA 94501","1300 Park Street",Alameda,CA,94501,"(510) 337- 2100","(510) 521- 7851",fireinfo@alamedafire.org,erodriguez@alamedaca.gov,"www.cityofalamedaca.gov/City -Hall/Fire",,ALA,Paid,Alameda,01005,"Feb 2019"
5,"Alameda County Fire Dept.","David Rocha , Fire Chief","6363 Clark Avenue Dublin A 94568","6363 Clark Avenue",Dublin,A,94568,"(925) 833- 3473","(925) 875- 9387",,david.rocha@acgov.org,www.co.alameda.ca.us/fire,www.co.alameda.ca.us,ACF,Paid,Alameda,01008,"Feb 2019"
6,"Albany Fire Dept.","Lance Calkins , Fire Chief","1000 San Pablo Ave. Albany CA 94706","1000 San Pablo Ave.",Albany,CA,94706,"(510) 528- 5770","(510) 528- 5774",,lcalkins@albanyca.org,www.albanyca.org/index.aspx?page=43,www.albanyca.org,ALB,Paid,Alameda,01010,"Feb 2019"
7,"Albion	-Little River Volunteer Fire 	Dept.","Derek Wilson , Fire Chief","PO Box 634 Albion CA 95410","PO Box 634",Albion,CA,95410,"(707) 937- 3600","(707) 937- 1302",info@albionfire.com,chief@albionfire.com,www.albionfire.com,,ALR,"Volunt Eer",Mendocino,23005,"Feb 2019"
8,"Alhambra Fire Dept.","Thomas Phelps , Fire Chief","301 North First Street Alhambra CA 91801","301 North First Street",Alhambra,CA,91801,"(626) 570- 5190","(626) 457- 8961",,tphelps@alhambrafire.org,www.cityofalhambra.org/government/fire_department,www.cityofalhambra.org,ALH,Paid,"Los Angeles",19005,"Feb 2019"
9,"Alleghany Volunteer Fire Dept.","Bob Hale , Fire  Chief","P. O. Box 920 Alleghany CA 95910","P. O. Box 920",Alleghany,CA,95910,"(530) 287- 3435",no_fax,,,,,AGC,Volunteer,Sierra,46025,"Feb 2019"
10,"Alpine Fire Protection Dist.","Bill Paskle , Fire Chief","1364 Tavern Rd. Alpine CA 91901","1364 Tavern Rd.",Alpine,CA,91901,"(619) 445- 2635","(619) 445- 2634",admin@alpinefire.org,bpaskle@alpinefire.org,www.alpinefire.org,,ACP,Paid,"San D iego",37005,"Feb 2019"
11,"Alta Volunteer Fire Protection Dist.","William Hart , Fire Chief","P.O. Box 847 Alta CA 95701","P.O. Box 847",Alta,CA,95701,"(530) 852- 2455","(530) 389- 2676",,williamdhartii@gmail.com,,,AFP,Volunteer,Placer,31005,"Feb 2019"
12,"Altaville	-Melones Fire Protection Dist.","Tom Spence , Fire Chief","P.O. Box 431 Altaville CA 95221","P.O. Box 431",Altaville,CA,95221,"(209) 736- 9116","(209) 736- 4238",,amfdchief@caltel.com,,,ALT,"Volun Teer",Calaveras,05005,"Feb 2019"
13,"Alturas City Fire Dept.","Keith Jacques , Fire Chief","103 S. Howard Street Alturas CA 96101","103 S. Howard Street",Alturas,CA,96101,"(530) 233- 4500","(530) 233- 3559",alturasfire@cityofalturas.org,,www.cityofalturas.org/fire.htm,www.cityofalturas.org,ALV,"Mostly Volunteer",Modoc,25010,"Feb 2019"
14,"Alturas Indian Rancheria, OES","Shawn Normington , Special Agent in Charge","901 County Road 56, P.O. Box 910 Alturas CA 96101","901 County Road 56, P.O. Box 910",Alturas,CA,96101,"(530) 233- 3141","(530) 233- 3170",,,"AIR   Personnel:  Paid","Modoc    Fire Dept. ID: 25007",ALV,"Mostly Volunteer",Modoc,25010,"Feb 2019"
15,"Alturas Rural Fire Protection Dist.","Allen Jacques , Fire Chief","310 Rine Street Alturas CA 96101","310 Rine Street",Alturas,CA,96101,"(530) 233- 5758","(530) 233- 3018",arfpd@frontiernet.net,,,,ALF,Volunteer,Modoc,25015,"Feb 2019"
16,"Amador Fire Protection Dist.","Jim McCart , Fire Chief","810 Court Street Jackson CA 95642","810 Court Street",Jackson,CA,95642,"(209) 223- 6391",no_fax,afpdhdq@co.amador.ca.us,,www.co.amador.ca.us/depts/afpd/index.htm,www.co.amador.ca.us,AMC,Volunteer,Amador,03006,"Feb 2019"
17,"American Canyon Fire Protection Dist.","Glen Weeks , Fire Chief","911 Donaldson Way, East American Canyon CA 94503","911 Donaldson Way, East","American Canyon",CA,94503,"(707) 551- 0650","(707) 642- 0201",mbanuelos@cityofamericancanyon.org,gweeks@cityofamericancanyon.org,"www.cityofamericancanyon.org/index.aspx?pa ge=66",www.cityofamericancanyon.org,ACY,"Mostly Paid",Napa,28020,"Feb 2019"
18,"Anaheim Fire Dept.","Patrick Russell , Interim Fire Chief","201 S. Anaheim Blvd., Ste. 300 Anaheim CA 92805","201 S. Anaheim Blvd., Ste. 300",Anaheim,CA,92805,no_office,"(714) 765- 4008",,prussell2@anaheim.net,www.anaheim.net/section.asp?id=73,www.anaheim.net,ANA,Paid,Orange,30005,"Feb 2019"
19,"Anderson Fire 	Protection Dist.","Andy Nichols , Fire Chief","1925 Howard St. Anderson CA 96007","1925 Howard St.",Anderson,CA,96007,"(530) 378- 6699","(530) 378- 6697",,anichols@andeersonfire.org,andersonfire.org,www.ci.anderson.ca.us,AFD,"Mostly Volunteer",Shasta,45010,"Feb 2019"
20,"Anderson Valley Community Services Dist.","Colin Wilson , Fire Chief","P.O. Box 398 Boonville CA 95415","P.O. Box 398",Boonville,CA,95415,"(707) 895- 2020",no_fax,avvfd@pacific.net,avvfd@pacific.net,www.andersonvalley.org,www.andersonvalley.org,AVY,Volunteer,Mendocino,23010,"Feb 2019"
21,"Angels Camp Fire Dept.","Greg Petersen , Interim Fire Chief","P.O. Box 667 Angels Camp CA 95222","P.O. Box 667","Angels Camp",CA,95222,"(209) 736- 4081","(209) 736- 2861",bn216@goldrush.com,,,www.andersonvalley.org,AVY,Volunteer,www.angelscamp.gov,"ERROR extracting [fire_dept_id] field from: City  Web:  www.angelscamp.gov","Feb 2019"
22,"Annapolis Volunteer Fire Company","Arthur Bell, III , Fire Chief","P.O. Box 823 Gualala CA 95445","P.O. Box 823",Gualala,CA,95445,"(707) 886- 5166",no_fax,,,,,ANN,Volunteer,Sonoma,49905,"Feb 2019"
23,"Antelope Valley Fire Protection Dist.","Scott Sherlock , Fire Chief","P.O. Box 30 Coleville CA 96107","P.O. Box 30",Coleville,CA,96107,"(530) 495- 2900","(530) 495- 2300",avfiredept@yahoo.com,,,,ANT,Volunteer,Mono,26015,"Feb 2019"
24,"Apple Valley Fire Protection Dist.","Sid Hultquist , Fire Chief","22400 Headquarters Drive Apple Valley CA 92307","22400 Headquarters Drive","Apple Valley",CA,92307,"(760) 247- 7618",no_fax,,shultquist@applevalleyfd.com,www.applevalleyfd.com,www.applevalley.org,APP,"Mostly Paid","San Bernardino",36015,"Feb 2019"
