j,TOLLFREE,Company,Title,First Name,Last Name,Address,City,State,Zip,Z4,Carrier Route,Phone Number,Primary SIC Code,County,Number of Employees,Sales Volume,Fax,Website Available,Primary SIC Code Description
j,855-475-3060,ANCAP INSURANCE,OWNER,FRANK,CAPPARELLE SR,8802 N 4TH ST,PHOENIX,AZ,85020,2997,C080,6029432586,641112,MARICOPA,5 to 9,$1 to 2.5 million,6029437221,ANCAPINSURANCE.COM,Insurance
j,855-475-3060,SMARTMART,,,,7823 N 27TH AVE,PHOENIX,AZ,85051,6667,C023,6022420873,553111,MARICOPA,5 to 9,$500000 to $1 million,,,Automobile Parts & Supplies-Retail-New
j,855-475-3060,CHICAGO WHITE SOX,,,,10710 W CAMELBACK RD,PHOENIX,AZ,85037,5072,H090,6233025200,483201,MARICOPA,10 to 19,$1 to 2.5 million,,,Radio Stations & Broadcasting Companies
j,855-475-3060,GATE6 INC,PRESIDENT,MANISH,MAMNANI,23460 N 19TH AVE STE 110,PHOENIX,AZ,85027,2149,C024,6235727725,737415,MARICOPA,5 to 9,$1 to 2.5 million,6235727726,GATE6.COM,Internet Service
j,855-475-3060,SEGAL'S ONE STOP & OASIS GRILL,,,,4818 N 7TH ST,PHOENIX,AZ,85014,3606,C044,6022851515,581208,MARICOPA,10 to 19,$500000 to $1 million,,,Restaurants
j,855-475-3060,VALLEY MEDICAL WEIGHT LOSS,,,,1838 W BELL RD,PHOENIX,AZ,85023,3480,C088,6026885567,729934,MARICOPA,5 to 9,Less than $500000,,MEDIWEIGHTLOSSCLINICS.COM,Weight Control Services
j,855-475-3060,EDLAB LIMITED,,,,2250 E WILLIAMS DR,PHOENIX,AZ,85024,6520,C055,6027633025,873106,MARICOPA,10 to 19,Unknown,,EDLAB.NET,Electronic Research & Development
j,855-475-3060,ENGINEMAN LLC,OWNER,BRIAN,SAMMONS,22047 N BLACK CANYON HWY STE 4,PHOENIX,AZ,85027,1939,C064,6235879090,508414,MARICOPA,5 to 9,$5 to 10 million,,ENGINEMAN.NET,Engines-Diesel (Whls)
j,855-475-3060,LA CURACAO,MANAGER,JERALDO,SALAZAR,7815 W THOMAS RD,PHOENIX,AZ,85033,5442,C068,6238480040,572202,MARICOPA,10 to 19,$2.5 to 5 million,6238499633,,Appliances-Household-Major-Dealers
j,855-475-3060,LENNYS BURGER II,,,,4061 W SHANGRI LA RD,PHOENIX,AZ,85029,3838,C025,6024328220,581208,MARICOPA,5 to 9,Less than $500000,,,Restaurants
j,855-475-3060,SOUTH CENTRAL DENTAL LLC,OWNER,RICHARD,HOGGE,6831 S CENTRAL AVE,PHOENIX,AZ,85042,5420,C062,6022688881,802101,MARICOPA,5 to 9,$1 to 2.5 million,,,Dentists
j,855-475-3060,COTTON CENTER CORPORATE OFFICE,OWNER,DEVAN,WASTCHAK,4650 E COTTON CENTER BLVD,PHOENIX,AZ,85040,4800,C010,6022665888,874201,MARICOPA,10 to 19,$1 to 2.5 million,6022665999,FOURSITE.COM,Business Management Consultants
j,855-475-3060,360 PHYSICAL THERAPY,,,,14202 N SCOTTSDALE RD,PHOENIX,AZ,85050,,,4806079200,804918,MARICOPA,5 to 9,Less than $500000,,360PHYSICALTHERAPY.COM,Physical Therapists
j,855-475-3060,MATTHEW HENSON APARTMENTS,MANAGER,JILL,DAVENPORT,840 W TONTO ST,PHOENIX,AZ,85007,3701,C019,6022521522,651303,MARICOPA,5 to 9,$1 to 2.5 million,,HENSONVILLAGE.COM,Apartments
j,855-475-3060,APEX PHYSICAL THERAPY,OWNER,AMY,LIHVARCHIK,20045 N 19TH AVE STE 151,PHOENIX,AZ,85027,4253,C045,6235949034,801101,MARICOPA,5 to 9,$1 to 2.5 million,,,Physicians & Surgeons
j,855-475-3060,PERSONAL GROWTH SYSTEMS INC,,,,1645 E MISSOURI AVE,PHOENIX,AZ,85016,3036,C021,6022484920,832218,MARICOPA,5 to 9,Unknown,,,Social Service & Welfare Organizations
j,855-475-3060,LARRY HARKER'S AUTO REPAIR,OWNER,BOB,FRISBY,3845 W INDIAN SCHOOL RD,PHOENIX,AZ,85019,3519,C003,6022785558,753801,MARICOPA,5 to 9,$500000 to $1 million,6022785550,LHAREPAIR.COM,Automobile Repairing & Service
j,855-475-3060,ABSOLUTE SOUND SYSTEM,CHIEF EXECUTIVE OFFICER,OVI,DEMETRIAN,14404 N 15TH PL,PHOENIX,AZ,85022,4430,C076,6024332222,365103,MARICOPA,5 to 9,$2.5 to 5 million,,SOUNDNOW.COM,Sound Systems & Equipment-Manufacturers
j,855-475-3060,VOVOMEENA,,,,1515 N 7TH AVE,PHOENIX,AZ,85007,1930,C039,6022522541,581208,MARICOPA,10 to 19,$500000 to $1 million,,VOVOMEENA.COM,Restaurants
