export_created,job_id,high_priority,req_inkjet,export_company_name,name,qty_est,qty,jobtype,num_inserts,color,export_duedate,export_cur_status,purls,delivery,export_coordinator,paid,invoice,postage_class,postage_type,postage_amt,postage_affixed,postage_due,total,dist_type,mailsize,papertype,fold_type,snap_seal,snap_paper,paper_color,envelopepaper,envelopetype,permit,export_vend_name,export_sales,bw_color,simp_dup,rsm_provided_data,custom_envelope,variable_streetview,data_cost,parent_sheet_size,freight,quoted,add_expenses,clicks_n_paper,labor,production_notes,sf_freight,sf_pmod,sf_quoted,sf_clicks_paper,sf_labor,sf_data,sf_data_po,sf_outside_print,sf_op_po,sf_addit_expense,sf_addit_po
2018-10-31 11:36:29,61036,,0,Great American Mortgage,GAM Trigger 110318,3000,3483,Letter,1,4/1,2018-12-01 00:00:00,Done,0,,Heather Lunsford,true,230322,First Class Pre-Sort,Permit Imprint,1419.58,,,2229.29,,,60 # White Bond Paper,,,,White,#10 Pastel Green ,Single Window,,"[""RS W.Sac""]",Justin Restaino,1,2,0,1,1,,8.5x11,,,,,,"PRINT
4/1
Print 8.5x11 60# bond white paper

FOLD
Tri-fold

INSERT (1)
Insert letter into #10 single window green pastel envelopes with 1st class indicia

MAIL
Sort, bundle, and tray - 1st class ",,,,,,,,,,,
2018-11-01 10:20:25,61103,,1,Perfect Star Heating and Air Conditioning,Perfect Star Drop 5,15184,13727,Letter,1,4/4,2018-12-06 00:00:00,Done,0,,Heather Lunsford,true,230378,Standard,Stamp,2334.10,1372.70,961.40,4839.45,Drop Ship,,80# Gloss Text ,,,,White,#10 White,Regular,,"[""RS W.Sac""]",Jared Phillips,1,2,0,1,0,,8.5x11,,,,,,"PART ONE Envelope Printing

#10 reg white envelope
Print return address ( UPPER LEFT Corner) using the following fields:
return add
return city st zip

Print recipient address (CENTER ) using the following fields 
full name -12 pt Times New Roman cont id sequence - 10 pt Times New Roman
address - 12 pt Times New Roman
city st zip - 12 pt Times New Roman

print walk sequence under the stamp

print IMB in BOTTOM RIGHT on envelope within OCR read. 

Require Ink Jet apply precanceled stamp and mailers postmark with DEC 2018 in the circle- see sample in job jacket 

Stage at inserters to match up with part one. 

PART TWO

4/4 color static flyer 
8.5x11 80# Gloss text/ flyer being printed @ Volume Prest will arrive at the West Sac on 11/20

Tri fold letter

Insert into #10 reg white printed with recipient address and return address printed with part one. 

Sort and bundle by carrier route- prepare for drop shipment 

Verify at post office - then Fed ex pick up at RS dock.",,,,,,,,,,,
2018-11-06 13:13:34,61331,,0,"Neil H. Greenbrg & Associates, PC",Greenberg 1st maildrop ,5000,5001,Letter,1,1/0,2018-12-07 00:00:00,Done,0,,Heather Lunsford,true,230277,First Class Pre-Sort,Stamp,1913.92,1250.25,663.67,2679.67,,,60#,,,,Cream,#10,Single Window,,"[""RS W.Sac""]",Andy Cody,0,1,0,0,0,,8.5x11,,,,,,"Part 1 of 2:

Envelopes
2/0 
#10 Single Window Envelopes 
Print Art Work in Folder ( SEE SAMPLES)


Part 2 of 2:

PRINT: 
- 1/0 8.5 x 11 #60 Cream Paper 

FOLD:
Tri Fold 

INSERT:
Into Custom #10 Single Window Envelopes with Art Work from Part 1. 

MAIL:
Sort Bundle and Tray 
Prepare for Delivery to the PO/ First Class ",,,,,,,,,,,
2018-11-06 13:23:50,61335,,0,Amerilist Inc,Letter and Business Card Drop 1,253,258,Letter,2,1/1,2019-01-14 00:00:00,Done,0,,Venus De Coy,true,231493,Standard,Permit Imprint,62.61,,,720.19,PMOD,,60#,,,,White,#10 White,Regular,,"[""RS W.Sac""]",Jared Phillips,0,2,0,1,0,,8.5x11,,,,,,"PRINT
Letter:  
1/1 
8.5 x 11 #70 White 

Business Card: RS Internal: # 63849
Envelope: RS Internal # 63847

FOLD/INSERT
C-Fold Letter 
Insert Business Card into letter (See Sample) 
Insert into #10 Non-Window White Envelope -See Sample 

MAIL 
Sort, bundle and tray, 
Mail - Standard PMOD 

Due Date: 1/11/19 ",,,,,,,,,,,
2018-11-12 10:41:51,61563,,0,The Data Suite,Drop 5 - Final Notice Postcard - IH 12/3/18,1745,1698,Post Card,,1/1,2018-12-01 00:00:00,Done,0,,Lillian Fansler,true,230318,First Class Pre-Sort,Permit Imprint,453.89,,,552.37,,5.5 x 8.5,67#,,,,Yellow Vellum Bristol,,,,"[""RS W.Sac""]",Andy Cody,0,2,0,0,0,,26x40,,,,,,"Print
1/1

9 up on 12 x 18 #67 Yellow Vellum Bristol

Cut to final size of 4x6

Mail,
Sort, bundle & tray

Prepare for delivery to the P.O- First class",,,,,,,,,,,
2018-11-12 13:28:26,61579,,0,Smartbiz Loans,Smartbiz Drop 1,20696,20670,Letter,1,4/4,2019-02-07 00:00:00,Done,0,,Heather Lunsford,true,232218,Standard,Permit Imprint,5445.34,,,7774.71,PMOD,,8.5x14 custom shells green check with micro perf,,,,,WHITE,#10 Smartbiz custom double window ,,"[""RS W.Sac""]",Jared Phillips,1,2,0,1,0,,,,,,,,"THIS IS A BRAND NEW CLIENT AND THE FIRST RUN- LETS MAKE IT GREAT!! 

PRINT 
1/1 black on pre printed Smart Biz Shells
(8.x 13.5 4/4 green check with micro perf)
MAKE SURE PRINTS MATCH TEMPLATE FILES 

PLEASE BRING SAMPLES TO DENNY OR VENUS FOR VERIFICATION 

FOLD/INSERT 
Double parallel fold letter
Insert into #10 special placement double window with STD box permit 1935 pre printed with RS internal Job 65054

MAIL 
Sort an delivery to the post office. ",,,,,,,,,,,
2018-11-13 10:03:16,61608,,0,Pacific Home Loans ,Thank you card Wk5,15,14,Post Card,,4/4,2019-01-03 00:00:00,Done,0,,Tori Randell,true,230934,Full Rate (Stamp Only),Stamp,0.00,6.86,0.00,10.92,,5 x 7,100#,,,,Gloss Cover,,,,"[""RS W.Sac""]",Andy Cody,1,2,0,0,0,,12x18,,,,,,"!!!BRING TO TORI FOR PROOFING !!!

Part 1 of 2 Env

QTY:

First Last
Address
City, State , Zip

Part 2 Post Card

QTY:

Paper type: 12X18 100# Gloss Cover

Color: 4/4

Insert (1) into Custom ENV from part 1

Cut down to actual size 5 by 7

Apply Full Rate Stamp


Mail 
Sort Bundle and Tray- Full Rate Due Date 01/03/2019",,,,,,,,,,,
2018-11-14 12:05:15,61666,,0,TagQuest,CLP Weekly Mail 120618 HM101018AR,7501,7443,Post Card,,1/1,2018-12-07 00:00:00,Done,1,,Lillian Fansler,true,229964,Standard,Permit Imprint,1652.18,,,2292.99,Drop Ship,4 x 6,#67.5 Vellum ,,,,Blue ,,,1935,"[""RS W.Sac""]",Andy Cody,0,2,0,,0,,12x18,,,,,,"Print
1/1
9 up on 12 x 18 #67 Blue Vellum Bristol 

Cut:
Cut to final size of 4x6

Mail:
Sort, bundle & tray Dropship--12/07/18
",,,,,,,,,,,
2018-11-16 15:58:11,61791,,1,Print Project Managers,FOR Year End Appeal,2642,2629,Letter,4,4/0,2018-12-03 00:00:00,Done,0,,Lindsey Hemphill,true,230207,Non-Profit,Permit Imprint,397.45,,,660.35,None,,60#,,,,White Shells,White,#10 Regular,,"[""RS W.Sac""]",Andy Cody,1,1,0,1,0,,8.5x14,,,,,,"PART #1 of 2 - Envelopes

PRINT 1/0
onto CUSTOM supplied #10 regular white envelopes with return address
**composed file in print folder**

STAGE at inserter to meet with PART #2

PART #2 of 2 - HANDMATCH

PRINT 1/0
overlay onto CUSTOM Supplied 8.5x14 shells

DOUBLE-PARALLEL fold

INSERT (4) into CUSTOM #10 regular white envelope from PART #1
-8.5x14 letter
-folded gloss 8.5x11 letter (supplied)
-gloss buckslip (supplied)
-CUSTOM #9 Reply envelope (supplied)

MAIL sort, bundle, & tray - Non-Profit 11/29",,,,,,,,,,,
2018-11-19 07:20:36,61802,,0,Mail King USA,Book Job,203549,204452,Self Mailer,,,2018-12-21 00:00:00,Done,0,,Leslie Moores,true,229972,,Permit Imprint,40387.28,,,58138.28,Drop Ship,5.5x8.5,20#,,Pressure Seal,,White,,,,"[""RS W.Sac""]",Andy Cody,,,,0,,,8.5x11,,,,,,"***SORT, BUNDLE, AND PALETIZE JOB ONLY***

PRE PRINTED BOOKS (IN STOCK)

THIS IS AN EDDM MAILING- 

SORT, BUNDLE AND PALETIZE BOOKS ACCORDING TO THE FACING SLIPS IN BUNDLES OF 50



",,,,,,,,,,,
