job_due_date,client,job_num,job_name,invoice_num,pmod_or_freight,gross_billed,quantity,pricing,postal_prep,production_cost,per_piece,data_cost,postage_psi,data_po_num,three_point_five_percent_cc_fee,special_product_envelopes_env_printing,special_product_envelopes_env_printing_notes,paper_color_print_cost,paper_color_print_cost_notes,shipping_pmod_cost_finishes,shipping_per_piece,misc_cost_pmod_labor_purl_var_img,gross_cost,net_gross_margin_for_labor,sales_rep,comm_paid,new_client,gross_margin_per_piece,comments_descriptions,production_type,all_added_costs
2018-12-01,"Liberty Debt Relief",62296,"LLGRS31 REMAIL FIRST URL NEEDED ",230306,None,11865.84,25212,0.47,25,1260.6,0.05,0,10252.48,unknown,unknown,,,,,,,0,1789.84,-176.48," ",unknown,unknown,-0.01,"White 20# White,  , Blue Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.05 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-03,"MhetaData, Inc.",62366,"GCC New Member Offers 6x9PC",230372,None,51.24,84,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,27.52,23.72," ",unknown,unknown,0.28,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-03,"MhetaData, Inc.",62367,"GCC ReAcquis n BB (6x9PC)",230375,None,380.03,623,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,43.69,336.34," ",unknown,unknown,0.54,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-07,"Liberty Debt Relief",62583,"LLGRS33 REMAIL No URL FIRST CLASS",230540,None,5831.25,12230,0.48,25,733.8,0.06,0,5035.76,unknown,unknown,,,,,,,0,1003.4,-207.91," ",unknown,unknown,-0.02,"White 20# White,  , Blue Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-07,"Liberty Debt Relief",62584,"LLGRS30 REMAIL No URL FIRST CLASS",230541,None,16613.72,35360,0.47,25,1768,0.05,0,14361.04,unknown,unknown,,,,,,,0,2500.2,-247.52," ",unknown,unknown,-0.01,"White 20# White,  , Blue Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.05 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-10,"MhetaData, Inc.",62711,"GCC New Member Offers 6x9PC",230631,None,54.9,86,0.64,25,0,0,0,0,unknown,unknown,,,,,,,0,27.58,27.32," ",unknown,unknown,0.32,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-10,"MhetaData, Inc.",62712,"GCC ReAcquis n BB (6x9PC)",230632,None,6.71,11,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,25.33,-18.62," ",unknown,unknown,-1.69,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-17,"MhetaData, Inc.",62951,"GCC New Member Offers 6x9PC",230897,None,50.02,82,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,27.46,22.56," ",unknown,unknown,0.28,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-17,"MhetaData, Inc.",62952,"GCC ReAcquis n BB (6x9PC)",230902,None,5.49,9,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,25.27,-19.78," ",unknown,unknown,-2.2,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-21,"MhetaData, Inc.",63024,"GCC Whos Live",230997,None,96.69,879,0.11,25,0,0,0,0,unknown,unknown,,,,,,,0,51.37,45.32," ",unknown,unknown,0.05,"White 20# White,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-26,"MhetaData, Inc.",63172,"GCC New Member Offers 6x9PC",231078,None,45.14,74,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,27.22,17.92," ",unknown,unknown,0.24,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-26,"MhetaData, Inc.",63173,"GCC BINGO 6x9PC",231077,None,9.15,15,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,25.45,-16.3," ",unknown,unknown,-1.09,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-26,"MhetaData, Inc.",63174,"GCC ReAcquis n BB (6x9PC)",231076,None,3.05,5,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,25.15,-22.1," ",unknown,unknown,-4.42,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-02,TagQuest,63347,"FCM Daily Mail HM010119FCM",,None,0,1,0,25,0.065,0.065,0,0,unknown,unknown,,,0.01,"Redstone Master Price Matrix algorithm: 
 |  added 0 + 0.01 because [color] = 1/1",,,0,25.075,-25.075," ",unknown,unknown,-25.08,"White 20# White, #10 White Single Window,  ",Letter," | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-31,"MhetaData, Inc.",63369,"GCC Bingo Paid2Play (6x9PC)",231217,None,15.86,26,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,25.78,-9.92," ",unknown,unknown,-0.38,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-02,"MhetaData, Inc.",63370,"GCC New Member Offers 6x9PC",231218,None,82.96,136,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,29.08,53.88," ",unknown,unknown,0.4,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-02,"MhetaData, Inc.",63371,"GCC Reacq BB 6x9 PC",231222,None,7.93,13,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,25.39,-17.46," ",unknown,unknown,-1.34,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-02,TagQuest,63403,"FCM Daily Mail HM020119FCM",,None,0,1,0,25,0.065,0.065,0,0,unknown,unknown,,,0.01,"Redstone Master Price Matrix algorithm: 
 |  added 0 + 0.01 because [color] = 1/1",,,0,25.075,-25.075," ",unknown,unknown,-25.08,"White 20# White, #10 White Single Window,  ",Letter," | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-04,"MhetaData, Inc.",63485,"GCC Nick Swardson (6x9PC)",231312,None,96.8,880,0.11,25,0,0,0,0,unknown,unknown,,,,,,,0,51.4,45.4," ",unknown,unknown,0.05,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-03,TagQuest,63509,"FCM Daily Mail HM020119FCM",,None,0,3,0,25,0.195,0.065,0,0,unknown,unknown,,,0.03,"Redstone Master Price Matrix algorithm: 
 |  added 0 + 0.01 because [color] = 1/1",,,0,25.225,-25.225," ",unknown,unknown,-8.41,"White 20# White, #10 White Single Window,  ",Letter," | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-04,"Semper Home Loans, Inc",63549,"VA PROSPECT 1/04",231335,None,429.64,700,0.61,25,45.5,0.065,0,294.54,unknown,unknown,3.5,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10 Brown Kraft",28,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1",,,0,102,33.1," ",unknown,unknown,0.05,"White 60# White, #10 Brown Kraft Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-04,"Semper Home Loans, Inc",63550,"VA PROSPECT EXT 1/04",231336,None,2374.27,4150,0.57,25,269.75,0.065,0,1,unknown,unknown,20.75,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10 Brown Kraft",166,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1",,,0,481.5,1891.77," ",unknown,unknown,0.46,"White 60# White, #10 Brown Kraft Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-04,"Semper Home Loans, Inc",63551,"FHA PROSPECT 1/04",231341,None,1080.95,1856,0.58,25,120.64,0.065,0,780.54,unknown,unknown,9.28,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10 Brown Kraft",74.24,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1",,,0,229.16,71.25," ",unknown,unknown,0.04,"White 60# White, #10 Brown Kraft Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-04,"Semper Home Loans, Inc",63552,"FHA TRIGGER 1/04",231342,None,949.14,1622,0.59,25,105.43,0.065,0,682.19,unknown,unknown,8.11,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10 Brown Kraft",64.88,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1",,,0,203.42,63.53," ",unknown,unknown,0.04,"White 60# White, #10 Brown Kraft Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-09,"MhetaData, Inc.",63560,"GCC Greatest Game on Turf - Full Offer (5.5x8.5PC)",231461,None,91.19,829,0.11,25,0,0,0,0,unknown,unknown,,,,,,,0,49.87,41.32," ",unknown,unknown,0.05,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-07,TagQuest,63616,"FCM Daily Mail HM020119FCM",,None,0,3,0,25,0.195,0.065,0,0,unknown,unknown,,,0.03,"Redstone Master Price Matrix algorithm: 
 |  added 0 + 0.01 because [color] = 1/1",,,0,25.225,-25.225," ",unknown,unknown,-8.41,"White 20# White, #10 White Single Window,  ",Letter," | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-07,"MhetaData, Inc.",63631,"GCC BINGO 6x9PC",231406,None,15.86,26,0.61,25,0,0,0,13,unknown,unknown,,,,,,,0,25.78,-22.92," ",unknown,unknown,-0.88,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-07,"MhetaData, Inc.",63632,"GCC New Member Offers 6x9PC",231407,None,74.42,122,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,28.66,45.76," ",unknown,unknown,0.38,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-07,"MhetaData, Inc.",63633,"GCC ReAcquis n BB (6x9PC)",231408,None,383.08,628,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,43.84,339.24," ",unknown,unknown,0.54,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-08,TagQuest,63684,"FCM Daily Mail HM020119FCM",,None,0,5,0,25,0.325,0.065,0,0,unknown,unknown,,,0.05,"Redstone Master Price Matrix algorithm: 
 |  added 0 + 0.01 because [color] = 1/1",,,0,25.375,-25.375," ",unknown,unknown,-5.08,"White 20# White, #10 White Single Window,  ",Letter," | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-11,"Semper Home Loans, Inc",63865,"VA PROSPECT 1/11",231537,None,639.84,1073,0.6,25,69.745,0.065,0,451.4,unknown,unknown,5.37,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10 Brown Kraft",42.92,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1",,,0,143.03,45.41," ",unknown,unknown,0.04,"White 60# White, #10 Brown Kraft Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-11,"Semper Home Loans, Inc",63866,"VA PROSPECT EXT 1/11",231539,None,2863.25,5023,0.57,25,326.495,0.065,0,2109.96,unknown,unknown,25.12,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10 Brown Kraft",200.92,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1",,,0,577.53,175.76," ",unknown,unknown,0.03,"White 60# White, #10 Brown Kraft Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-11,"Semper Home Loans, Inc",63867,"FHA PROSPECT 1/11",231542,None,1763.91,3068,0.57,25,199.42,0.065,0,1290.19,unknown,unknown,15.34,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10 Brown Kraft",122.72,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1",,,0,362.48,111.24," ",unknown,unknown,0.04,"White 60# White, #10 Brown Kraft Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-11,"Semper Home Loans, Inc",63869,"FHA TRIGGER 1/11",231545,None,1575.74,2734,0.58,25,177.71,0.065,0,1149.78,unknown,unknown,13.67,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10 Brown Kraft",109.36,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1",,,0,325.74,100.22," ",unknown,unknown,0.04,"White 60# White, #10 Brown Kraft Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-12,"Liberty Debt Relief",63892,"LLGRS42  RE FIRST URL NEEDED",231562,None,14026.76,29820,0.47,25,1491,0.05,0,12123.1,unknown,unknown,,,,,,,0,2112.4,-208.74," ",unknown,unknown,-0.01,"White 20# White,  , Blue Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.05 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-12,"MhetaData, Inc.",63908,"GCC Greatest Game on Turf - Tickets (2ver 5.5x8.5PC)",231581,None,265.1,2410,0.11,25,0,0,0,0,unknown,unknown,,,,,,,0,97.3,167.8," ",unknown,unknown,0.07,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-14,"MhetaData, Inc.",63974,"GCC BINGO 6x9PC",231604,None,14.64,24,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,25.72,-11.08," ",unknown,unknown,-0.46,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-14,"MhetaData, Inc.",63975,"GCC New Member Offers 6x9PC",231607,None,61.61,101,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,28.03,33.58," ",unknown,unknown,0.33,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-14,"MhetaData, Inc.",63976,"GCC ReAcquis n BB (6x9PC)",231608,None,8.54,14,0.61,25,0,0,0,0,unknown,unknown,,,,,,,0,25.42,-16.88," ",unknown,unknown,-1.21,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-18,"Semper Home Loans, Inc",64212,"VA PROSPECT 1/18",231731,None,611.12,1022,0.6,25,66.43,0.065,0,429.97,unknown,unknown,5.11,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10 Brown Kraft",45.99,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1
 |  added 0.005 because [papertype] = 20# & [paper_color] = Green",,,0,142.53,38.62," ",unknown,unknown,0.04,"Green 20# Green, #10 Brown Kraft Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | expensivePaperCost = 0.005 |  | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-18,"Semper Home Loans, Inc",64213,"VA PROSPECT EXT 1/18",231732,None,2783.11,4879,0.57,25,317.135,0.065,0,2050.41,unknown,unknown,24.4,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10 Brown Kraft",195.16,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1",,,0,561.69,171.01," ",unknown,unknown,0.04,"White 60# White, #10 Brown Kraft Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
