job_due_date,client,job_num,job_name,invoice_num,pmod_or_freight,gross_billed,quantity,pricing,postal_prep,production_cost,per_piece,data_cost,postage_psi,data_po_num,three_point_five_percent_cc_fee,special_product_envelopes_env_printing,special_product_envelopes_env_printing_notes,paper_color_print_cost,paper_color_print_cost_notes,shipping_pmod_cost_finishes,shipping_per_piece,misc_cost_pmod_labor_purl_var_img,gross_cost,net_gross_margin_for_labor,sales_rep,comm_paid,new_client,gross_margin_per_piece,comments_descriptions,production_type,all_added_costs
2018-12-07,"Neil H. Greenbrg & Associates, PC",61331,"Greenberg 1st maildrop ",230277,,2679.67,5001,0.54,25,325.065,0.065,0,1913.92,unknown,unknown,25.01,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10",25.01,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [papertype] = 60# & [paper_color] = Cream",,,0,400.075,365.675,"Andy Cody",unknown,unknown,0.07,"Cream 60# Cream, #10 Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | expensivePaperCost = 0.005 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-01,"The Data Suite",61563,"Drop 5 - Final Notice Postcard - IH 12/3/18",230318,,552.37,1698,0.33,25,0,0,0,453.89,unknown,unknown,,,,,,,0,58.96,39.52,"Andy Cody",unknown,unknown,0.02,"Yellow Vellum Bristol 67# Yellow Vellum Bristol,  ,  ","Post Card"," | postCardCost = 0.02 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-03,"Pacific Home Loans ",61608,"Thank you card Wk5",230934,,10.92,14,0.78,25,0,0,0,0,unknown,unknown,,,,,,,0,25.42,-14.5,"Andy Cody",unknown,unknown,-1.04,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-07,TagQuest,61666,"CLP Weekly Mail 120618 HM101018AR",229964,"Drop Ship",2292.99,7443,0.31,25,0,0,0,1652.18,unknown,unknown,,,,,,,74.43,248.29,392.52,"Andy Cody",unknown,unknown,0.05,"Blue  #67.5 Vellum  Blue ,  ,  ","Post Card"," | postCardCost = 0.02 |  | purlsCost = 0.01 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-06,"Low VA Rates (Lehi Branch)",62026,"Past Client Cashout 12/05",230522,PMOD,2067.25,4096,0.5,25,245.76,0.06,0,1116.74,unknown,unknown,,,,,,,40.96,311.72,638.79,"Andy Cody",unknown,unknown,0.16,"White 20# White,  , White on White ","Snap Pack"," | purlsCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-01,"Citracado Market Advisors",62112,"RTB Drop 2",230143,,5152.99,10971,0.47,25,658.26,0.06,0,4491.67,unknown,unknown,109.71,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  White on White",,,,,0,792.97,-131.65,"Andy Cody",unknown,unknown,-0.01,"White 20# White,  , White on White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-07,"Citracado Market Advisors",62113,"RTB Drop 3",230149,,5161.47,10973,0.47,25,658.38,0.06,0,4500.03,unknown,unknown,109.73,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  White on White",,,,,0,793.11,-131.67,"Andy Cody",unknown,unknown,-0.01,"White 20# White,  , White on White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-08,"Citracado Market Advisors",62114,"RTB Drop 4",230152,None,5162.75,10964,0.47,25,657.84,0.06,0,4501.84,unknown,unknown,109.64,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  White on White",,,,,0,792.48,-131.57,"Andy Cody",unknown,unknown,-0.01,"  ,  , White on White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-14,"Citracado Market Advisors",62115,"RTB Drop 5",230153,None,5155.77,10967,0.47,25,658.02,0.06,0,4494.68,unknown,unknown,109.67,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  White on White",,,,,0,792.69,-131.6,"Andy Cody",unknown,unknown,-0.01,"  ,  , White on White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-15,"Citracado Market Advisors",62116,"RTB Drop 6",230154,None,5155.47,10962,0.47,25,657.72,0.06,0,4494.67,unknown,unknown,109.62,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  White on White",,,,,0,792.34,-131.54,"Andy Cody",unknown,unknown,-0.01,"  ,  , White on White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-03,"Fusion Growth Partners",62188,"Anna Wang Homes Drop 1",230247,,73,90,0.81,25,5.85,0.065,0,45,unknown,unknown,,,3.15,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0 because [color] = 4/0
 |  added 0.005 because [papertype] = 70# (67.5#) & [paper_color] = White",,,0,34,-6,"Andy Cody",unknown,unknown,-0.07,"White 70# (67.5#) White, #10 White Regular,  ",Letter," | expensivePaperCost = 0.005 |  | frontColorCost = 0.03 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-01,"The Data Suite",62215,"VA Active Snap Mailer drop 75",230337,,426.24,812,0.52,25,48.72,0.06,0,340.08,unknown,unknown,,,,,,,0,73.72,12.44,"Andy Cody",unknown,unknown,0.02,"White 20# White,  , White 20# Converted","Snap Pack"," | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-01,"The Data Suite",62217,"VA April Streamline ***EAGLE INDICIA***",230319,PMOD,685.4,1799,0.38,25,116.935,0.065,0,455.62,unknown,unknown,,,9,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [papertype] = 20# & [paper_color] = Yellow",,,0,222.89,6.89,"Andy Cody",unknown,unknown,0,"Yellow 20# Yellow, White #10 Single Window,  ",Letter," | expensivePaperCost = 0.005 |  | inkjetCost = 0.02 |  | inkjetAddressCost = 0.02 |  | SetupFee_inkjetAddrLessThan5k = 50 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-01,"The Data Suite",62232,"FHA IH 12-3-18 - CA-WA",230288,,2640.19,5493,0.48,25,357.045,0.065,0,2156.8,unknown,unknown,,,82.4,"Redstone Master Price Matrix algorithm: 
 |  added 0 + 0.01 because [color] = 1/1
 |  added 0.005 because [papertype] = 20# & [paper_color] = Yellow",,,0,464.44,18.95,"Andy Cody",unknown,unknown,0,"Yellow 20# Yellow, #10 White Double Window,  ",Letter," | expensivePaperCost = 0.005 |  | backColorCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-06,"Pacific Home Loans ",62237,"FHA Spanish Drop 2 120618",230409,PMOD,1448.48,3001,0.48,25,195.065,0.065,0,744.62,unknown,unknown,15.01,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10 Brown Kraft",180.06,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.03 because [color] = 4/4",,,30.01,565.18,138.68,"Andy Cody",unknown,unknown,0.05,"White 60# White, #10 Brown Kraft Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | inkjetCost = 0.02 |  | frontColorCost = 0.03 |  | backColorCost = 0.03 |  | inkjetAddressCost = 0.02 |  | SetupFee_inkjetAddrLessThan5k = 50 |  | purlsCost = 0.01 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
