job_due_date,client,job_num,job_name,invoice_num,pmod_or_freight,gross_billed,quantity,pricing,postal_prep,production_cost,per_piece,data_cost,postage_psi,data_po_num,three_point_five_percent_cc_fee,special_product_envelopes_env_printing,special_product_envelopes_env_printing_notes,paper_color_print_cost,paper_color_print_cost_notes,shipping_pmod_cost_finishes,shipping_per_piece,misc_cost_pmod_labor_purl_var_img,gross_cost,net_gross_margin_for_labor,sales_rep,comm_paid,new_client,gross_margin_per_piece,comments_descriptions,production_type,all_added_costs
2018-12-08,"Nations Lending - CORP",62138,"Nations Lending Variable Image Trigger 20",230566,,4183.65,7049,0.59,25,458.185,0.065,0,2893.92,unknown,unknown,,,281.96,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1",,,246.72,1011.86,277.87,"Bobby Caruso",unknown,unknown,0.04,"White 20# White,  ,  ",Letter," | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | streetViewCost = 0.035 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-01,"DG Funding",62242,"DG TRIGGER REGLAR BRANDED PIECE 11/30/18",230326,,3025.96,3558,0.85,25,231.27,0.065,0,1450.35,unknown,unknown,,,231.27,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.03 because [color] = 4/4
 |  added 0.005 because [papertype] =  & [paper_color] = ",,,124.53,612.07,963.54,"Bobby Caruso",unknown,unknown,0.27,"  , #10 White Half Window,  ",Letter," | expensivePaperCost = 0.005 |  | frontColorCost = 0.03 |  | backColorCost = 0.03 |  | streetViewCost = 0.035 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-03,"HomeBuyers Of Pittsburgh",62243,"HomeBuyers 12.3.2018",230335,None,3214.95,9271,0.35,25,0,0,0,2357.19,unknown,unknown,,,,,,,0,256.775,600.985,"Bobby Caruso",unknown,unknown,0.06,"White Gloss Cover #100 White Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.025 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-03,"HomeBuyers Of Pittsburgh",62247,"HomeBuyers Probate PC 12.3.2018",230278,None,771.76,2148,0.36,25,0,0,0,571.09,unknown,unknown,,,,,,,0,78.7,121.97,"Bobby Caruso",unknown,unknown,0.06,"White Gloss Cover #100 White Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.025 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-01,"FIRST SAVINGS BANK",62253,"FIRST SAVINGS BANK TRIGGER 11/30/18",230239,,2662.78,3166,0.84,25,205.79,0.065,0,1300.95,unknown,unknown,,,94.98,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0 because [color] = 4/0",,,110.81,436.58,925.25,"Bobby Caruso",unknown,unknown,0.29,"White 60# White, #10 White Half Window,  ",Letter," | frontColorCost = 0.03 |  | streetViewCost = 0.035 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-03,"Maryland Cash House Buyers, LLC",62267,"MD CASH HOME BUYERS CARD 120318",230266,None,1241.8,3438,0.36,25,0,0,0,882.57,unknown,unknown,,,,,,,120.33,248.47,110.76,"Bobby Caruso",unknown,unknown,0.03,"White Vellum Bristol 67# White Vellum Bristol,  ,  ","Post Card"," | postCardCost = 0.03 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-10,"Maryland Cash House Buyers, LLC",62268,"MD CASH HOMEBUYERS CARD 121018",230267,None,1242.15,3438,0.36,25,0,0,0,876.25,unknown,unknown,,,,,,,120.33,248.47,117.43,"Bobby Caruso",unknown,unknown,0.03,"White Vellum Bristol 67# White Vellum Bristol,  ,  ","Post Card"," | postCardCost = 0.03 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-17,"Maryland Cash House Buyers, LLC",62269,"MD HOME BUYERS CARD 121718",230268,None,1242.15,3438,0.36,25,0,0,0,880.18,unknown,unknown,,,,,,,120.33,248.47,113.5,"Bobby Caruso",unknown,unknown,0.03,"White Vellum Bristol 67# White Vellum Bristol,  ,  ","Post Card"," | postCardCost = 0.03 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-04,"Maryland Cash House Buyers, LLC",62270,"MD CASH HOME BUYERS JAN CARD 10419",230271,None,1142.12,2557,0.45,25,0,0,0,656.36,unknown,unknown,,,,,,,89.5,191.205,294.555,"Bobby Caruso",unknown,unknown,0.12,"White Vellum Bristol 67# White Vellum Bristol,  ,  ","Post Card"," | postCardCost = 0.03 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-11,"Maryland Cash House Buyers, LLC",62271,"MD CASH HOME BUYERS JAN CARD 11119",230272,,929.95,2557,0.36,25,0,0,0,652.54,unknown,unknown,,,,,,,89.5,191.205,86.205,"Bobby Caruso",unknown,unknown,0.03,"White Vellum Bristol 67# White Vellum Bristol,  ,  ","Post Card"," | postCardCost = 0.03 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-18,"Maryland Cash House Buyers, LLC",62273,"MD CASH HOMEBUYERS JAN CARD 11818",230273,,929.95,2557,0.36,25,0,0,0,650.23,unknown,unknown,,,,,,,89.5,191.205,88.515,"Bobby Caruso",unknown,unknown,0.03,"White Vellum Bristol 67# White Vellum Bristol,  ,  ","Post Card"," | postCardCost = 0.03 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-01-25,"Maryland Cash House Buyers, LLC",62274,"MD CASH HOME BUYERS JAN CARD 12519",230274,,929.6,2556,0.36,25,0,0,0,653.8,unknown,unknown,,,,,,,89.46,191.14,84.66,"Bobby Caruso",unknown,unknown,0.03,"White 20# White,  ,  ","Post Card"," | postCardCost = 0.03 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-01,"1st Rate Home Mortgage, Inc. - NORTH BRANCH",62326,"NORTH REFI TRIGGER VAR ST SNAP120118 FHA PMOD",230338,PMOD,875.3,960,0.91,25,57.6,0.06,0,245.38,unknown,unknown,9.6,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  White on White",,,,,33.6,125.8,504.12,"Bobby Caruso",unknown,unknown,0.53,"White 20# White,  , White on White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | streetViewCost = 0.035 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
