job_due_date,client,job_num,job_name,invoice_num,pmod_or_freight,gross_billed,quantity,pricing,postal_prep,production_cost,per_piece,data_cost,postage_psi,data_po_num,three_point_five_percent_cc_fee,special_product_envelopes_env_printing,special_product_envelopes_env_printing_notes,paper_color_print_cost,paper_color_print_cost_notes,shipping_pmod_cost_finishes,shipping_per_piece,misc_cost_pmod_labor_purl_var_img,gross_cost,net_gross_margin_for_labor,sales_rep,comm_paid,new_client,gross_margin_per_piece,comments_descriptions,production_type,all_added_costs
2018-12-04,"PubClub Leads",62099,OBL103,230356,None,7593.35,18435,0.41,25,1106.1,0.06,0,5046.09,unknown,unknown,,,,,,,0,1499.8,1047.46,"Contact user not set",unknown,unknown,0.06,"White 20# White,  , Green Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-04,"Idea Engine Marketing",62312,"Titan 100K 12.3.18 A/B",230430,"Drop Ship",32701.92,99781,0.33,25,4989.05,0.05,0,25112.18,unknown,unknown,,,,,,,0,7009.67,580.07,"Contact user not set",unknown,unknown,0.01,"  ,  , Green Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.05 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-07,"PubClub Leads",62450,BS108,230576,None,5414.48,9962,0.54,25,597.72,0.06,0,4,unknown,unknown,,,,,,,0,821.96,4588.52,"Contact user not set",unknown,unknown,0.46,"White 20# White,  , Blue Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-07,"HYPOTEC INC",62588,"FHA NC - PRIORITY - 12 06 18",230560,None,2467.19,4451,0.55,25,289.315,0.065,0,1,unknown,unknown,22.26,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = White",133.53,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0 because [color] = 4/0",,,155.79,695.395,1770.795,"Contact user not set",unknown,unknown,0.4,"White 60# White, White Full Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | oversizedEnvelopePerPiece = 0.01 |  | SetupFee_oversizedEnvelope = 25 |  | frontColorCost = 0.03 |  | streetViewCost = 0.035 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 | "
2018-12-07,"HYPOTEC INC",62589,"VA Debt PRIORITY - 12 06 18",230555,None,1462.31,3064,0.48,25,183.84,0.06,0,1,unknown,unknown,30.64,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  Black & White",,,,,0,239.48,1221.83,"Contact user not set",unknown,unknown,0.4,"White 70# (67.5#) White,  , Black & White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-07,"HYPOTEC INC",62590,"VA NC PRIORITY - 11 29 18",230557,None,2224.4,4651,0.48,25,279.06,0.06,0,1,unknown,unknown,46.51,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  Black & White",,,,,0,350.57,1872.83,"Contact user not set",unknown,unknown,0.4,"White 70# (67.5#) White,  , Black & White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-07,"HYPOTEC INC",62591,"PROP PRIORITY - 12 06 18",230558,None,938.59,1930,0.49,25,115.8,0.06,0,792,unknown,unknown,19.3,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  Black & White",,,,,0,160.1,-13.51,"Contact user not set",unknown,unknown,-0.01,"White 70# (67.5#) White,  , Black & White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-07,"HYPOTEC INC",62592,"PROP NC PRIORITY - 12 06 18",230559,None,2568.65,5421,0.47,25,325.26,0.06,0,2,unknown,unknown,54.21,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  Black & White",,,,,0,404.47,2162.18,"Contact user not set",unknown,unknown,0.4,"White 70# (67.5#) White,  , Black & White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-11,"Idea Engine Marketing",62598,"Titan 100K A/B 12.10.18",2305573,"Drop Ship",32984.78,99844,0.33,25,4992.2,0.05,0,25120.63,unknown,unknown,,,,,,,0,7014.08,850.07,"Contact user not set",unknown,unknown,0.01,"  ,  , Green Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.05 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-17,"PubClub Leads",62720,OBL104,230866,None,7598.27,18447,0.41,25,1106.82,0.06,0,5046.8,unknown,unknown,,,,,,,0,1500.76,1050.71,"Contact user not set",unknown,unknown,0.06,"White 20# White,  , Green Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
