job_due_date,client,job_num,job_name,invoice_num,pmod_or_freight,gross_billed,quantity,pricing,postal_prep,production_cost,per_piece,data_cost,postage_psi,data_po_num,three_point_five_percent_cc_fee,special_product_envelopes_env_printing,special_product_envelopes_env_printing_notes,paper_color_print_cost,paper_color_print_cost_notes,shipping_pmod_cost_finishes,shipping_per_piece,misc_cost_pmod_labor_purl_var_img,gross_cost,net_gross_margin_for_labor,sales_rep,comm_paid,new_client,gross_margin_per_piece,comments_descriptions,production_type,all_added_costs
2018-12-03,"Liberty Debt Relief",62230,"LLGRS52 - No Url - Standard ",230258,None,6700.91,19855,0.34,25,1191.3,0.06,0,5464.75,unknown,unknown,,,,,,,0,1613.4,-377.24,"Heather Lunsford",unknown,unknown,-0.02,"White 20# White,  , Blue Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-05,"UDC LLC",62364,"UDC Control Half 12.5 AP",230379,PMOD,2066.5,3989,0.52,25,259.285,0.065,0,1064.9,unknown,unknown,,,19.95,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [papertype] =  & [paper_color] = ",,,0,304.23,697.37,"Heather Lunsford",unknown,unknown,0.17,"  ,  ,  ",Letter," | expensivePaperCost = 0.005 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-05,"UDC LLC",62368,"UDC Control Half 12.5 CP",230379,PMOD,2066.5,1986,1.04,25,129.09,0.065,0,524.3,unknown,unknown,,,9.93,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [papertype] = 20# & [paper_color] = Pink",,,0,164.02,1378.18,"Heather Lunsford",unknown,unknown,0.69,"Pink 20# Pink, #10 White Half Window,  ",Letter," | expensivePaperCost = 0.005 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-07,"Liberty Debt Relief",62578,"LLGRS54  URL NEEDED FIRST ",230543,,11729.7,24924,0.47,25,1246.2,0.05,0,10,unknown,unknown,,,,,,,0,1769.68,9950.02,"Heather Lunsford",unknown,unknown,0.4,"White 20# White,  , Blue Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.05 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-10,"Liberty Debt Relief",62580," LLGRS55 NO URL STANDARD",230580,None,10001.07,29746,0.34,25,1487.3,0.05,0,8161.56,unknown,unknown,,,,,,,0,2107.22,-267.71,"Heather Lunsford",unknown,unknown,-0.01,"White 20# White,  , Blue Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.05 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-11,"Think Ink Admin",62607,"NCDCL Card",230671,None,150,200,0.75,25,13,0.065,0,0,unknown,unknown,,,1,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [papertype] = Supplied NCDLC cards & [paper_color] = ",,,0,47,103,"Heather Lunsford",unknown,unknown,0.52," Supplied NCDLC cards ,  Supplied Envelopes,  ",Letter," | expensivePaperCost = 0.005 |  | inkjetCost = 0.02 |  | inkjetAddressCost = 0.02 |  | SetupFee_inkjetAddrLessThan5k = 50 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-12,"UDC LLC",62623,"UDC Control Half 12.12 AP",230608,PMOD,2098.46,3804,0.55,25,247.26,0.065,0,1026.55,unknown,unknown,,,19.02,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [papertype] = 20# & [paper_color] = Pink",,,0,291.28,780.63,"Heather Lunsford",unknown,unknown,0.21,"Pink 20# Pink, #10 White Half Window,  ",Letter," | expensivePaperCost = 0.005 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-12,"UDC LLC",62624,"UDC Control Half 12.12 CP",230608,PMOD,2098.46,2265,0.93,25,147.225,0.065,0,586.32,unknown,unknown,,,11.33,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [papertype] = 20# & [paper_color] = Pink",,,0,183.55,1328.59,"Heather Lunsford",unknown,unknown,0.59,"Pink 20# Pink, #10 White Half Window,  ",Letter," | expensivePaperCost = 0.005 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-19,"Think Ink Admin",62640,"Correa Holiday Card",230950,None,3389.33,96838,0.04,25,5810.28,0.06,0,0,unknown,unknown,484.19,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = White",484.19,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [papertype] = Supplied & [paper_color] = Card",,,0,11186.37,-7797.04,"Heather Lunsford",unknown,unknown,-0.08,"Card Supplied Card, White 7x7,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | expensivePaperCost = 0.005 |  | inkjetCost = 0.02 |  | oversizedEnvelopePerPiece = 0.01 |  | SetupFee_oversizedEnvelope = 25 |  | inkjetAddressCost = 0.015 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 | "
2018-12-14,"Liberty Debt Relief",62869,"LLGRS56 URL NEEDED FIRST",230794,None,11301.96,23943,0.47,25,1197.15,0.05,0,9768.55,unknown,unknown,,,,,,,0,1701.01,-167.6,"Heather Lunsford",unknown,unknown,-0.01,"White 20# White,  , Blue Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | $BASE_COST = 0.05 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
