job_due_date,client,job_num,job_name,invoice_num,pmod_or_freight,gross_billed,quantity,pricing,postal_prep,production_cost,per_piece,data_cost,postage_psi,data_po_num,three_point_five_percent_cc_fee,special_product_envelopes_env_printing,special_product_envelopes_env_printing_notes,paper_color_print_cost,paper_color_print_cost_notes,shipping_pmod_cost_finishes,shipping_per_piece,misc_cost_pmod_labor_purl_var_img,gross_cost,net_gross_margin_for_labor,sales_rep,comm_paid,new_client,gross_margin_per_piece,comments_descriptions,production_type,all_added_costs
2018-12-01,"Great American Mortgage",61036,"GAM Trigger 110318",230322,,2229.29,3483,0.64,25,226.395,0.065,0,1419.58,unknown,unknown,17.42,"Redstone Master Price Matrix algorithm: 
 |  added 0.005 because [envelopepaper] = #10 Pastel Green ",156.74,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1
 |  added 0.005 because [papertype] = 60 # White Bond Paper & [paper_color] = White",,,121.91,547.45,262.26,"Justin Restaino",unknown,unknown,0.08,"White 60 # White Bond Paper White, #10 Pastel Green  Single Window,  ",Letter," | expensiveEnvelopeCost = 0.005 |  | expensivePaperCost = 0.005 |  | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | streetViewCost = 0.035 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-07,"Reliant Home Funding, Inc - Carmelo",61826,"Reliant Carmelo Z Fold Triggers 120718",229834,,1077.1,1351,0.8,25,81.06,0.06,0,555.75,unknown,unknown,13.51,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  White on White",,,,,0,119.57,401.78,"Justin Restaino",unknown,unknown,0.3,"  ,  , White on White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-14,"Reliant Home Funding, Inc - Carmelo",61827,"Reliant Carmelo Z Fold Triggers 121418",229835,,1077.1,1352,0.8,25,81.12,0.06,0,0,unknown,unknown,13.52,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  White on White",,,,,0,119.64,957.46,"Justin Restaino",unknown,unknown,0.71,"  ,  , White on White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-24,"Quant Squared",62203,"62192 Monster VA 11.26.2018 AP",2302221,"Drop Ship",1629.95,23285,0.07,25,1397.1,0.06,0,0,unknown,unknown,,,349.28,"Redstone Master Price Matrix algorithm: 
 |  added 0 + 0.01 because [color] = 1/1
 |  added 0.005 because [papertype] =  & [paper_color] = ",,,0,1771.375,-141.425,"Justin Restaino",unknown,unknown,-0.01,"  ,  ,  ",Letter," | expensivePaperCost = 0.005 |  | backColorCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-01,"HighTechLending - Tim Sullivan",62293,"HighTechTim Cfold 120118  ",230336,,5144.52,7514,0.68,25,450.84,0.06,0,3063.81,unknown,unknown,,,,,,,262.99,889.11,1191.6,"Justin Restaino",unknown,unknown,0.16,"White 20# White,  , Blue Window Check Snaps Pressure Seal","Snap Pack"," | windowCheckSnapCost = 0.02 |  | streetViewCost = 0.035 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-08,"Equity Now, Inc.",62308,"EN HW RefiITMA 120718",230562,,4149.63,4956,0.84,25,322.14,0.065,0,2007.28,unknown,unknown,,,198.24,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0.01 because [color] = 4/1",,,173.46,718.84,1423.51,"Justin Restaino",unknown,unknown,0.29,"White 60# White, #10 White Half Window,  ",Letter," | frontColorCost = 0.03 |  | backColorCost = 0.01 |  | streetViewCost = 0.035 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-06,"The MALA Group Inc.",62319,"120618 Dealer 1/1 4x6 Color Stock PC",230496,,1264.2,3979,0.32,25,0,0,0,1058.1,unknown,unknown,,,,,,,0,104.58,101.52,"Justin Restaino",unknown,unknown,0.03,"VB Green 110 # Index  VB Green,  ,  ","Post Card"," | postCardCost = 0.02 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-06,"Reliant Home Funding, Inc - Greg",62396,"Remail 4.25x6 Custom Snap",230402,,825.73,1999,0.41,25,119.94,0.06,0,530.86,unknown,unknown,,,,,,,0,144.94,149.93,"Justin Restaino",unknown,unknown,0.08,"White 20# White,  ,   Converted","Snap Pack"," | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-06,"The MALA Group Inc.",62409,"120618 No Dealer 1/1 4x6 Color Stock PC",230499,,1268.82,3997,0.32,25,0,0,0,1061.95,unknown,unknown,,,,,,,0,104.94,101.93,"Justin Restaino",unknown,unknown,0.03,"VB Green 110 # Index  VB Green,  ,  ","Post Card"," | postCardCost = 0.02 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2018-12-06,"Reliant Home Funding, Inc - Greg",62417,"Low FICO 120618   ",230530,,3610,5000,0.72,25,300,0.06,0,2027.58,unknown,unknown,50,"Redstone Master Price Matrix algorithm: 
 |  added 0.01 because [snap_seal] = Pressure Seal & [snap_paper] =  White on White",,,,,0,375,1207.42,"Justin Restaino",unknown,unknown,0.24,"White 20# White,  , White on White Pressure Seal","Snap Pack"," | pressureSealCost = 0.01 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
