Receipt,SKU,Category,Description,Quantity,UOM,"Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Size,Color,Window?,Special,Builds,Reserved,Client,"Received Date","PO# / Receipt#",Name
2176,E10WH-1W-SC-BOX,E,"#10 S/W WH STD BOX ",350000,Each,,"0000-00-00 00:00:00",,,,0.01594,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"01/06/2020 7:20:26 pm",A-00226,"Kelly Paper - Atlanta"
2176,E10WH-2W,E,"#10 D/W BLANK",300000,Each,,"0000-00-00 00:00:00",,,,0.01676,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"01/06/2020 7:20:26 pm",A-00226,"Kelly Paper - Atlanta"
2176,E10WH-2W-SC-EAG,E,"#10 D/W WH STD EAGLE",350000,Each,,"0000-00-00 00:00:00",,,,0.01704,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"01/06/2020 7:20:26 pm",A-00226,"Kelly Paper - Atlanta"
2191,P8511-70WH,P,"WHITE 67.5# (70#) 8.5X11",1276000,Each,,"0000-00-00 00:00:00",,,,0.0121,0.000000,0.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"01/08/2020 12:43:08 pm",A-00238,"Veritiv - Atlanta"
2192,P8511-60WH,P,"WHITE 60# 8.5X11",320000,Each,,"0000-00-00 00:00:00",,,,0.01035,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"01/08/2020 12:48:16 pm",A-00297,"Veritiv - Atlanta"
2193,E10GR-PW-SC-BOX,E,"#10 PISTOL WINDOW GREEN STD BOX 1935",151600,Each,,"0000-00-00 00:00:00",,,,0.02314,0.000000,0.000000,#10,GREEN,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"01/13/2020 11:02:41 am",A-00277,"Envelopes & Forms"
2207,P8511-20PI,P,"PINK 20# 8.5X11",200000,Each,,"0000-00-00 00:00:00",,,,0.01089,0.000000,0.000000,8.5X11,PINK,,,"Letter, Print Other","0000-00-00 00:00:00",,"01/10/2020 10:29:17 am",A-00297,"Veritiv - Atlanta"
2207,P8511-20PI,P,"PINK 20# 8.5X11",7000,,,"0000-00-00 00:00:00",,,,0.01089,0.000000,0.000000,8.5X11,PINK,,,"Letter, Print Other","0000-00-00 00:00:00",,"01/10/2020 10:29:17 am",A-00297,"Veritiv - Atlanta"
2273,P8511-60WH,P,"WHITE 60# 8.5X11",960000,Each,,"0000-00-00 00:00:00",,,,0.01035,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"01/21/2020 9:49:16 am",A-00329,"Veritiv - Atlanta"
2295,E10WH-2W,E,"#10 D/W BLANK",88000,Each,,"0000-00-00 00:00:00",,,,0.0206,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/20/2020 2:11:44 pm",A-00323,"Envelopes & Forms"
2350,E10WH-PW,E,"#10 PISTOL WH BLANK",88000,Each,,"0000-00-00 00:00:00",,,,0.01868,0.000000,0.000000,#10,WHITE,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"02/04/2020 8:39:41 pm",A-00323,"Envelopes & Forms"
2350,E10WH-PW-SC-BOX,E,"#10 PISTOL WH STD BOX ",176000,Each,,"0000-00-00 00:00:00",,,,0.01868,0.000000,0.000000,#10,WHITE,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"02/04/2020 8:39:41 pm",A-00323,"Envelopes & Forms"
2361,E10WH-OSHW-FC1946M-CLI,E,"#10 OVERSIZED HALF WINDOW FC 1946 MONSTER CLIENT",160000,Each,,"0000-00-00 00:00:00",,,,0,0.000000,0.000000,#10,WHITE,"OVERSIZED HALF",,"Letter, Print Other","0000-00-00 00:00:00","Monster Lead Group","02/06/2020 5:58:31 pm",,"Southland test"
2396,E10GR-1W,E,"#10 S/W GREEN  BLANK",50600,Each,,"0000-00-00 00:00:00",,,,0.0165,0.000000,0.000000,#10,GREEN,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"02/12/2020 5:15:42 pm",A-00345,"Envelopes & Forms"
2396,E10GR-PW,E,"#10 PISTOL WINDOW GREEN BLANK ",352000,Each,,"0000-00-00 00:00:00",,,,0.02274,0.000000,24.000000,#10,GREEN,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"02/12/2020 5:15:42 pm",A-00345,"Envelopes & Forms"
2397,E10WH-1W,E,"#10 S/W WH BLANK",88000,Each,,"0000-00-00 00:00:00",,,,0,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other ","0000-00-00 00:00:00",,"02/11/2020 2:28:56 pm",,"Envelopes & Forms"
2397,E10WH-1W-SC-BOX,E,"#10 S/W WH STD BOX ",176000,Each,,"0000-00-00 00:00:00",,,,0,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"02/11/2020 2:28:56 pm",,"Envelopes & Forms"
2403,E10WH-1W,E,"#10 S/W WH BLANK",378400,Each,,"0000-00-00 00:00:00",,,,0.016,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other ","0000-00-00 00:00:00",,"02/12/2020 5:13:04 pm",A-00323,"Envelopes & Forms"
