Receipt,SKU,Category,Description,Quantity,UOM,"Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Size,Color,Window?,Special,Builds,Reserved,Client,"Received Date","PO# / Receipt#",Name
2459,E-MISCELLANEOUS,E,"MISCELLANEOUS ENVELOPE",5000,Each,,"0000-00-00 00:00:00",,,,0,0.000000,0.000000,,,,,Letter,"0000-00-00 00:00:00",,"02/24/2020 6:44:01 pm",A-00418,"Test Supplier"
2460,E10GR-1W-FC-BOX,E,"#10 S/W GREEN FC BOX 1935",50,Each,,"0000-00-00 00:00:00",,,,0,0.000000,0.000000,#10,GREEN,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"02/24/2020 6:44:01 pm",A-00419,"Veritiv - Sacramento"
2556,P8511-60WH,P,"WHITE 60# 8.5X11",960000,Each,,"0000-00-00 00:00:00",,,,0.01035,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"03/17/2020 7:36:44 pm",A-00420,"Veritiv - Baltimore"
2556,P8511-70WH,P,"WHITE 67.5# (70#) 8.5X11",320000,Each,,"0000-00-00 00:00:00",,,,0.0121,0.000000,0.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"03/17/2020 7:36:44 pm",A-00420,"Veritiv - Baltimore"
2557,PS8511-BLWDO,PS,"BLUE WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,BLUE,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"03/17/2020 7:37:35 pm",A-00427,"Ennis - Baltimore"
2557,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"03/17/2020 7:37:35 pm",A-00427,"Ennis - Baltimore"
2568,E10WH-1W-SC-BOX,E,"#10 S/W WH STD BOX ",80000,Each,,"0000-00-00 00:00:00",,,,0.01395,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"03/23/2020 1:03:27 pm",A-00456,"Double Envelope Company"
2568,E10WH-2W-FC-BOX,E,"#10 D/W WH FC BOX",160000,Each,,"0000-00-00 00:00:00",,,,0.01645,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"03/23/2020 1:03:27 pm",A-00456,"Double Envelope Company"
2569,E10WH-2W-FC1946M,E,"MONSTER #10 D/W WH FC 1946",400000,Each,,"0000-00-00 00:00:00",,,,0.01645,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"03/23/2020 1:05:19 pm",A-00458,"Double Envelope Company"
2570,E10WH-1W-FC-BOX,E,"#10 S/W WH FC BOX ",480000,Each,,"0000-00-00 00:00:00",,,,0.01395,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"03/23/2020 2:07:59 pm",A-00456,"Double Envelope Company"
2571,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"03/23/2020 2:16:45 pm",A-00440,"Ennis - Baltimore"
2571,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"03/23/2020 2:16:45 pm",A-00440,"Ennis - Baltimore"
2572,E10WH-2W-FC-BOX,E,"#10 D/W WH FC BOX",320000,Each,,"0000-00-00 00:00:00",,,,0.01645,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"03/23/2020 3:05:13 pm",A-00456,"Double Envelope Company"
2583,E10WH-1W-SC-BOX,E,"#10 S/W WH STD BOX ",400000,Each,,"0000-00-00 00:00:00",,,,0.01395,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"03/24/2020 2:56:11 pm",A-00456,"Double Envelope Company"
2587,E10WH-2W-SC-BOX,E,"#10 D/W WH STD BOX",480000,Each,,"0000-00-00 00:00:00",,,,0.01645,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"03/25/2020 5:11:43 pm",A-00456,"Double Envelope Company"
2605,E10WH-PW-FC1946M,E,"MONSTER #10 PISTOL FC 1946",480000,Each,,"0000-00-00 00:00:00",,,,0.0169,0.000000,0.000000,#10,WHITE,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"03/30/2020 1:37:37 pm",A-00458,"Double Envelope Company"
2606,E10WH-HW-FC-BOX,E,"#10 HALF WH FC BOX",240000,Each,,"0000-00-00 00:00:00",,,,0.01699,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"03/26/2020 12:50:22 pm",A-00456,"Double Envelope Company"
2607,E10WH-2W-SC-BOX,E,"#10 D/W WH STD BOX",480000,Each,,"0000-00-00 00:00:00",,,,0.01645,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"03/25/2020 5:13:31 pm",A-00468,"Double Envelope Company"
2609,E10WH-PW-FC-BOX,E,"#10 PISTOL WH FC BOX",480000,Each,,"0000-00-00 00:00:00",,,,0.0169,0.000000,0.000000,#10,WHITE,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"03/26/2020 12:54:44 pm",A-00456,"Double Envelope Company"
2609,E10WH-PW-SC-BOX,E,"#10 PISTOL WH STD BOX ",480000,Each,,"0000-00-00 00:00:00",,,,0.0169,0.000000,0.000000,#10,WHITE,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"03/26/2020 12:54:44 pm",A-00456,"Double Envelope Company"
2616,P8511-60WH,P,"WHITE 60# 8.5X11",960000,Each,,"0000-00-00 00:00:00",,,,0.01035,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"03/30/2020 1:47:00 pm",A-00479,"Veritiv - Baltimore"
