Receipt,SKU,Category,Description,Quantity,UOM,"Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Size,Color,Window?,Special,Builds,Reserved,Client,"Received Date","PO# / Receipt#",Name
1781,E10WH-HW-FC-BOX,E,"#10 HALF WH FC BOX",160000,Each,,"0000-00-00 00:00:00",,,,0.01995,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"11/07/2019 2:02:43 pm",A-00152,"Southland Envelopes - Denver "
1791,P8511-60WH,P,"WHITE 60# 8.5X11",283000,Each,,"0000-00-00 00:00:00",,,2,0.01,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"10/29/2019 11:31:21 am",A-00163,"Spicers - Denver"
1791,P8511-60WH,P,"WHITE 60# 8.5X11",677000,Each,,"0000-00-00 00:00:00",,,5,0.01,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"10/29/2019 11:31:21 am",A-00163,"Spicers - Denver"
1792,E10WH-1W,E,"#10 S/W WH BLANK",500000,Each,,"0000-00-00 00:00:00",,,6,0.01595,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other ","0000-00-00 00:00:00",,"10/23/2019 2:36:45 pm",A-00152,"Southland Envelopes - Denver "
1813,P1319-100WHGL-T,P,"WHITE 100# GL TEXT 13X19",9900,Each,,"0000-00-00 00:00:00",,,,0.04738,0.000000,0.000000,13X19,WHITE,,,"Letter, Post Card, Self Mailer, Print Other","0000-00-00 00:00:00",,"10/29/2019 3:40:44 pm",A-00177,"Spicers - Denver"
1813,P1218-100WHGL-T,P,"WHITE 100# GL TEXT 12X18",9900,Each,,"0000-00-00 00:00:00",,,,0.041,0.000000,0.000000,12X18,WHITE,,,"Letter, Self Mailer, Print Other","0000-00-00 00:00:00",,"10/29/2019 3:40:44 pm",A-00177,"Spicers - Denver"
1813,EA7WH-0W,E,"A7 WHITE",3000,Each,,"0000-00-00 00:00:00",,,,0.0411,0.000000,0.000000,A7,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"10/29/2019 3:40:44 pm",A-00177,"Spicers - Denver"
1822,P8511-60WH,P,"WHITE 60# 8.5X11",595000,Each,,"0000-00-00 00:00:00",,,4,0.01,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"11/01/2019 10:49:58 am",A-00182,"Spicers - Denver"
1822,P1218-100WHGL-C,P,"WHITE 100# GL COVER 12X18",20250,Each,,"0000-00-00 00:00:00",,,2,0.07839,0.000000,0.000000,12X18,WHITE,,,"Letter, Post Card, Self Mailer","0000-00-00 00:00:00",,"11/01/2019 10:49:58 am",A-00182,"Spicers - Denver"
1823,P1319-100WHGL-C,P,"WHITE 100# GL COVER 13X19",1250,Each,,"0000-00-00 00:00:00",5,,1,0.08972,0.000000,0.000000,13X19,WHITE,,,"Letter, Post Card, Self Mailer, Print Other","0000-00-00 00:00:00",,"11/04/2019 9:41:18 am",A-00182,"Spicers - Denver"
