Receipt,SKU,Category,Description,Quantity,UOM,"Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Size,Color,Window?,Special,Builds,Reserved,Client,"Received Date","PO# / Receipt#",Name
1748,E10BK-1W-RCDL,E,"#10 BK NATIONWIDE RDCL",56000,Each,,"0000-00-00 00:00:00",,,,0.0035,0.000000,0.000000,#10,"BROWN KRAFT ",1W,,"Letter, Print Other","0000-00-00 00:00:00",,"10/08/2019 9:40:30 am",A-00131,"Cathy Welsh Envelopes"
1749,P8511-20CA,P,"CANARY 20# 8.5X11",200000,Each,,"0000-00-00 00:00:00",40,,1,0.0094,0.000000,0.000000,8.5X11,CANARY,,,"Letter, Print Other","0000-00-00 00:00:00",,"10/08/2019 10:16:30 am",A-00134,"Spicers - Sacramento"
1757,PS8511-BLKWHT-ZF,PS,"BLACK/WHITE Z-FOLD PS 8.5X11",120000,Each,,"0000-00-00 00:00:00",,,1,0.0233,0.000000,0.000000,8.5X11,BLACK/WHITE,,,"Snap Pack, Letter, Print Other","0000-00-00 00:00:00",,"10/09/2019 1:50:15 pm",A-00132,"Wilmer - Sacramento"
1757,PS8514-GRCK-CAPITOL,PS,"8.5X14 GREEN CHECK CAPITOL",50000,Each,,"0000-00-00 00:00:00",,,1,0.02425,0.000000,0.000000,8.5x14,GREEN,,,"Snap Pack ","0000-00-00 00:00:00",,"10/09/2019 1:50:15 pm",A-00132,"Wilmer - Sacramento"
1758,E10BK-1W-RCDL,E,"#10 BK NATIONWIDE RDCL",44000,Each,,"0000-00-00 00:00:00",,,1,0.0035,0.000000,0.000000,#10,"BROWN KRAFT ",1W,,"Letter, Print Other","0000-00-00 00:00:00",,"10/09/2019 3:15:26 pm",A-00131,"Cathy Welsh Envelopes"
1760,E69WH-0W,E,"6X9 WHITE REGULAR BLANK ",4000,Each,,"0000-00-00 00:00:00",,,,0.03346,0.000000,0.000000,6X9,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"10/10/2019 12:17:53 pm",A-00139,"Kelly Paper - Sacramento"
1760,EA7WH-0W,E,"A7 WHITE",1500,Each,,"0000-00-00 00:00:00",,,,0.05116,0.000000,0.000000,A7,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"10/10/2019 12:17:53 pm",A-00139,"Kelly Paper - Sacramento"
1761,E10WH-2W-FC1946M,E,"MONSTER #10 D/W WH FC 1946",640000,Each,,"0000-00-00 00:00:00",320,,8,0.01765,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"10/24/2019 12:18:51 pm",A-00137,"Southland Envelopes - Sacramento "
1761,E10WH-2W-FC1946M,E,"MONSTER #10 D/W WH FC 1946",110000,Each,,"0000-00-00 00:00:00",,,,0.01765,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"10/24/2019 12:18:51 pm",A-00137,"Southland Envelopes - Sacramento "
1761,E10BK-2W,E,"#10 D/W BK BLANK ",50000,Each,,"0000-00-00 00:00:00",,,,0.02035,0.000000,0.000000,#10,"BROWN KRAFT",2W,,"Letter, Print Other","0000-00-00 00:00:00",,"10/24/2019 12:18:51 pm",A-00137,"Southland Envelopes - Sacramento "
1762,P1218-100WHGL-C,P,"WHITE 100# GL COVER 12X18",57475,Each,,"0000-00-00 00:00:00",121,,5,0.07839,0.000000,0.000000,12X18,WHITE,,,"Letter, Post Card, Self Mailer","0000-00-00 00:00:00",,"10/11/2019 12:00:20 pm",A-00140,"Spicers - Sacramento"
1762,P1319-100WHGL-C,P,"WHITE 100# GL COVER 13X19",40375,Each,,"0000-00-00 00:00:00",85,,3,0.08972,0.000000,0.000000,13X19,WHITE,,,"Letter, Post Card, Self Mailer, Print Other","0000-00-00 00:00:00",,"10/11/2019 12:00:20 pm",A-00140,"Spicers - Sacramento"
1763,"INBOUND FREIGHT",,"INBOUND FREIGHT",2,Each,,"0000-00-00 00:00:00",,,,125,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"10/14/2019 6:20:08 am",A-00132,"Wilmer - Sacramento"
1764,PS8511-BLWDO,PS,"BLUE WDO PS 8.5X11",510000,Each,,"0000-00-00 00:00:00",510,,6,0.0305,0.000000,0.000000,8.5X11,BLUE,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"10/16/2019 1:17:55 pm",A-00135,"Ennis - Sacramento "
1765,P8511-60-YCRHEARTLAND-6BRKT,P,"YCR HEARTLAND SHELL 6 BRACKET VERSION",92000,Each,,"0000-00-00 00:00:00",,,1,0.01598,0.000000,0.000000,,,,,Letter,"0000-00-00 00:00:00",,"10/16/2019 3:12:28 pm",A-00142,"Volume Press"
1765,P8511-WH60-YCR-HEA-CTY-6BRKT,P,"YCR HEARTLAND - CITY SQUARE SHELL 6 BRACKET VERSION",102000,Each,,"0000-00-00 00:00:00",,,1,0.01598,0.000000,60.000000,8.5X11,WHITE,,,Letter,"0000-00-00 00:00:00",,"10/16/2019 3:12:28 pm",A-00142,"Volume Press"
1766,"E10WH-1W-SC1908 LKYDUCHESS",E,"#10 WHITE S/W STD 1908 LKY DUCHESS",56000,Each,,"0000-00-00 00:00:00",28,,1,0.0035,0.000000,0.000000,10,WHITE,1,,Letter,"0000-00-00 00:00:00",,"10/16/2019 1:21:23 pm",A-00145,"Cathy Welsh Envelopes"
1767,E9WH-0W-BRM-CW7-AIM-AULTIUM,E,"#9 WHITE REG BUSINESS REPLY MAIL - CW7-AIM-AULTIUM",50000,Each,,"0000-00-00 00:00:00",,,,0.0045,0.000000,0.000000,#9,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"10/17/2019 4:15:46 pm",A-00151,"Cathy Welsh Envelopes"
1768,E9WH-1W,E,"#9 S/W WHITE BLANK",90000,Each,,"0000-00-00 00:00:00",36,,1,0.02276,0.000000,0.000000,#9,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"10/16/2019 1:18:41 pm",A-00147,"Veritiv - Sacramento"
1769,PS8511-BLWDO,PS,"BLUE WDO PS 8.5X11",300000,Each,,"0000-00-00 00:00:00",,,,0.0305,0.000000,0.000000,8.5X11,BLUE,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"11/14/2019 6:05:51 pm",A-00135,"Ennis - Sacramento "
1769,PS8511-BLWDO,PS,"BLUE WDO PS 8.5X11",504000,Each,,"0000-00-00 00:00:00",,,6,0.0305,0.000000,0.000000,8.5X11,BLUE,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"11/14/2019 6:05:51 pm",A-00135,"Ennis - Sacramento "
1769,PS8511-BLWDO,PS,"BLUE WDO PS 8.5X11",85000,Each,,"0000-00-00 00:00:00",,,,0.0305,0.000000,0.000000,8.5X11,BLUE,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"11/14/2019 6:05:51 pm",A-00135,"Ennis - Sacramento "
1769,PS8511-BLWDO,PS,"BLUE WDO PS 8.5X11",111000,Each,,"0000-00-00 00:00:00",,,,0.0305,0.000000,0.000000,8.5X11,BLUE,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"11/14/2019 6:05:51 pm",A-00135,"Ennis - Sacramento "
1770,"E10WH-1W-SC1908 LKYDUCHESS",E,"#10 WHITE S/W STD 1908 LKY DUCHESS",74000,Each,,"0000-00-00 00:00:00",,,,0.0035,0.000000,0.000000,10,WHITE,1,,Letter,"0000-00-00 00:00:00",,"10/16/2019 3:14:42 pm",A-00145,"Cathy Welsh Envelopes"
1777,E10WH-2W-NP1935-EAG,E,"#10 WHITE D/W NON-PROFIT 1935 EAGLE",70000,Each,,"0000-00-00 00:00:00",,,,0.0035,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"10/28/2019 7:12:34 am",A-00157,"Cathy Welsh Envelopes"
1777,E10WH-2W-NP1935-EAG,E,"#10 WHITE D/W NON-PROFIT 1935 EAGLE",70000,Each,,"0000-00-00 00:00:00",,,,0.0035,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"10/28/2019 7:12:34 am",A-00157,"Cathy Welsh Envelopes"
1779,E69WH-2W-SC-BOX,E,"6X9 WH D/W STD 1935 BOX ",44000,Each,,"0000-00-00 00:00:00",,,1,0.03925,0.000000,0.000000,6X9,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"10/28/2019 11:42:43 am",A-00156,"Southland Envelopes - Sacramento "
1779,E69WH-2W,E,"6X9 WH D/W BLANK",100000,Each,,"0000-00-00 00:00:00",,,,0.038,0.000000,0.000000,6X9,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"10/28/2019 11:42:43 am",A-00156,"Southland Envelopes - Sacramento "
1779,E69WH-2W-SC-BOX,E,"6X9 WH D/W STD 1935 BOX ",206000,Each,,"0000-00-00 00:00:00",,,,0.03925,0.000000,0.000000,6X9,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"10/28/2019 11:42:43 am",A-00156,"Southland Envelopes - Sacramento "
1790,P8511-60WH,P,"WHITE 60# 8.5X11",723500,Each,,"0000-00-00 00:00:00",,,,0.0092,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"12/04/2019 7:12:47 pm",A-00161,"Spicers - Sacramento"
1790,P8511-60WH,P,"WHITE 60# 8.5X11",1192000,Each,,"0000-00-00 00:00:00",,,,0.0092,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"12/04/2019 7:12:47 pm",A-00161,"Spicers - Sacramento"
1790,P8511-60WH,P,"WHITE 60# 8.5X11",328500,Each,,"0000-00-00 00:00:00",,,,0.0092,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"12/04/2019 7:12:47 pm",A-00161,"Spicers - Sacramento"
1790,P8511-60WH,P,"WHITE 60# 8.5X11",7500,Each,,"0000-00-00 00:00:00",,,,0.0092,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"12/04/2019 7:12:47 pm",A-00161,"Spicers - Sacramento"
1790,P8511-60WH,P,"WHITE 60# 8.5X11",101000,Each,,"0000-00-00 00:00:00",21,,1,0.0092,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"12/04/2019 7:12:47 pm",A-00161,"Spicers - Sacramento"
1798,P8511-60WH-YCR-HEA-FOLLOW,P,"8.5X11 60 WH YCR HEARTLAND FOLLOW UP SHELLS",211150,Each,,"0000-00-00 00:00:00",,,,0.02145,0.000000,70.000000,8.5X11,WHITE,,,Letter,"0000-00-00 00:00:00",,"10/25/2019 3:23:33 pm",A-00165,"Volume Press"
1799,E10WH-2W-MONSTERTFSB,E,"#10 D/W WHITE MONSTER TFSB",90000,Each,,"0000-00-00 00:00:00",,,1,0.0225,0.000000,0.000000,10,WHITE,2,,Letter,"0000-00-00 00:00:00",,"11/20/2019 2:34:33 pm",A-00172,"Southland Envelopes - Sacramento "
1800,E10WH-HW-FC-BOX,E,"#10 HALF WH FC BOX",16000,Each,,"0000-00-00 00:00:00",,,1,0.01995,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"11/25/2019 11:18:10 am",A-00155,"Southland Envelopes - Sacramento "
1800,E10WH-HW-FC-BOX,E,"#10 HALF WH FC BOX",288000,Each,,"0000-00-00 00:00:00",,,,0.01995,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"11/25/2019 11:18:10 am",A-00155,"Southland Envelopes - Sacramento "
